KO20vsWT20,KO60vsWT60,KO20vsWT20|KO40vsWT40,KO40vsWT40|KO60vsWT60,KO60vsWT60|KO80vsWT80
AT3G46460,AT5G59820,AT5G57630,AT2G01900,AT1G01470
AT3G48590,,,,AT5G05860
