"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT1G67970",897.322272328947,-0.484422109956143,0.112310065480876,0.0000098146376478452,0.000061268948580526,"temperature_stress_(heat_stress)","HSFA8","member of Heat Stress Transcription Factor (Hsf) family","Giesguth, M., Sahm, A., Simon, S., & Dietz, K. J. (2015). Redox-dependent translocation of the heat shock transcription factor AtHSFA8 from the cytosol to the nucleus in Arabidopsis thaliana. FEBS letters, 589(6), 718-725."
"AT1G77510",3010.98496967565,1.23784373939072,0.155331612385668,0.000000000000000271692930695984,0.00000000000000681927904932522,"excess_light_stress_(photoinhibithion)","PDIL1-2","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response. This protein has been shown to be an attenuator of D1 synthesis, modulating photoinhibition in a light-regulated manner.","Lu, Y. (2016). Identification and roles of photosystem II assembly, stability, and repair factors in Arabidopsis. Frontiers in plant science, 7, 168."
"AT2G04030",1148.73070025689,1.14303924856817,0.163050968310651,0.000000000000508144838083725,0.00000000000886253157534283,"temperature_stress_(heat_stress)","HSP90-5","Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response and crucial for protein import into the chloroplast stroma. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.","Danilova, M. N., Kudryakova, N. V., Doroshenko, A. S., Zabrodin, D. A., Vinogradov, N. S., & Kuznetsov, V. V. (2016). Molecular and physiological responses of Arabidopsis thaliana plants deficient in the genes responsible for ABA and cytokinin reception and metabolism to heat shock. Russian Journal of Plant Physiology, 63, 308-318."
"AT2G26150",84.3617723782159,3.22415827917595,1.01636990481774,0.0000994288910243945,0.000503270125706082,"temperature_stress_(heat_stress)","HSFA2","member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay.","Evrard, A., Kumar, M., Lecourieux, D., Lucks, J., von Koskull-Döring, P., & Hirt, H. (2013). Regulation of the heat stress response in Arabidopsis by MPK6-targeted phosphorylation of the heat stress factor HsfA2. PeerJ, 1, e59."
"AT2G37040",2808.03424417212,1.49920103725663,0.144610716915477,0.0000000000000000000000000376507672128383,0.00000000000000000000000232933354250661,"radiation_stress_(uv-b)","PAL1","Encodes PAL1, a phenylalanine ammonia-lyase. Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4).","Zhang, X., Gou, M., Guo, C., Yang, H., & Liu, C. J. (2015). Down-regulation of Kelch domain-containing F-box protein in Arabidopsis enhances the production of (poly) phenols and tolerance to ultraviolet radiation. Plant Physiology, 167(2), 337-350."
"AT2G38340",62.8563778684407,1.05578667813089,0.675595701226802,0.0141739012646962,0.0399187437058291,"temperature_stress_(heat_stress)","DREB19","encodes a member of the DREB subfamily A-2 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are eight members in this subfamily including DREB2A AND DREB2B that are involved in response to drought.","Krishnaswamy, S., Verma, S., Rahman, M. H., & Kav, N. N. (2011). Functional characterization of four APETALA2-family genes (RAP2. 6, RAP2. 6L, DREB19 and DREB26) in Arabidopsis. Plant molecular biology, 75, 107-127."
"AT2G43010",951.910278988489,-0.554911736716856,0.130799587991062,0.0000119597217533653,0.0000733692318175839,"radiation_stress_(uv-b)","PIF4 Transcription factor","Isolated as a semidominant mutation defective in red -light responses. Encodes a nuclear localized bHLH protein that interacts with active PhyB protein. Negatively regulates phyB mediated red light responses. Involved in shade avoidance response. Protein abundance is negatively regulated by PhyB.Involved in the regulation of response to nutrient levels. Controls the resistance to B. cinerea in a COI1- and EIN2-dependent manner.","Qian, C., Chen, Z., Liu, Q., Mao, W., Chen, Y., Tian, W., ... & Huang, X. (2020). Coordinated transcriptional regulation by the UV-B photoreceptor and multiple transcription factors for plant UV-B responses. Molecular plant, 13(5), 777-792."
"AT3G03380",6921.25895355963,-0.249472860488921,0.079278673249822,0.0014057519872331,0.00533467533429273,"excess_light_stress_(photoinhibithion)","DEG7","Encodes a putative DegP protease. The mRNA is cell-to-cell mobile.","Sun, X., Fu, T., Chen, N., Guo, J., Ma, J., Zou, M., ... & Zhang, L. (2010). The stromal chloroplast Deg7 protease participates in the repair of photosystem II after photoinhibition in Arabidopsis. Plant physiology, 152(3), 1263-1273."
"AT3G06050",3216.28152332937,0.297598845904231,0.0985461895428225,0.0021082881472473,0.00764278131957896,"oxidative_stress","PRXIIF","Encodes a mitochondrial matrix localized peroxiredoxin involved in redox homeostasis. Knockout mutants have reduced root growth under certain oxidative stress conditions.","Finkemeier, I., Goodman, M., Lamkemeyer, P., Kandlbinder, A., Sweetlove, L. J., & Dietz, K. J. (2005). The mitochondrial type II peroxiredoxin F is essential for redox homeostasis and root growth of Arabidopsis thaliana under stress. Journal of Biological Chemistry, 280(13), 12168-12180."
"AT3G08970",309.49546075524,2.22189074705066,0.313430627195675,0.00000000000012253010441503,0.00000000000231052892834571,"temperature_stress_(heat_stress)","ATERDJ3A","J domain protein localized in ER lumen. Can compensate for the growth defect in jem1 scj1 mutant yeast. Also shows similarity to HSP40 proteins and is induced by heat stress. At high temperatures, mutant alleles are not transmitted through the pollen due to defects in pollen tube growth.","Singh, M. B., Lohani, N., & Bhalla, P. L. (2021). The role of endoplasmic reticulum stress response in pollen development and heat stress tolerance. Frontiers in Plant Science, 12, 661062."
"AT3G10920",1773.90800985114,0.350897804236187,0.0756390573941052,0.0000027818052167123,0.0000193884083721266,"oxidative_stress","MSD1","manganese superoxide dismutase (MSD1)","Xi, D. M., Liu, W. S., Yang, G. D., Wu, C. A., & Zheng, C. C. (2010). Seed‐specific overexpression of antioxidant genes in Arabidopsis enhances oxidative stress tolerance during germination and early seedling growth. Plant biotechnology journal, 8(7), 796-806."
"AT3G15850",4603.57486321425,-1.48700498190464,0.137272388610383,0.000000000000000000000000000278921568742834,0.0000000000000000000000000210849852158229,"excess_light_stress_(photoinhibithion)","FAD5","Chloroplastic enzyme responsible for the synthesis of 16:1 fatty acids from galactolipids and sulpholipids. Uses ferredoxin as electron donor. The mRNA is cell-to-cell mobile.","Rea, A. C. (2020). More than just a FAD (5): unsaturated fatty acids in chloroplasts elicit protective autoimmunity."
"AT3G25230",320.987011135919,0.885626020121215,0.205283020216126,0.00000464448438592153,0.0000310819922753227,"temperature_stress_(heat_stress)","ROF1","Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family. It has three FKBP12-like domains, tetratricopeptide repeats, and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.","Aviezer-Hagai, K., Skovorodnikova, J., Galigniana, M., Farchi-Pisanty, O., Maayan, E., Bocovza, S., ... & Breiman, A. (2007). Arabidopsis immunophilins ROF1 (AtFKBP62) and ROF2 (AtFKBP65) exhibit tissue specificity, are heat-stress induced, and bind HSP90. Plant molecular biology, 63, 237-255."
"AT3G55270",2761.37798053084,-0.235122025975487,0.076956919055017,0.0019144847505587,0.00702023534178033,"radiation_stress_(uv-b)","MKP 1","Encodes MAP kinase phosphatase 1 (MKP1). Loss of MKP1 results in hypersensitivity to acute UV-B stress, but without impairing UV-B acclimation.","Gonzalez Besteiro, M. A., & Ulm, R. (2013). ATR and MKP 1 play distinct roles in response to UV‐B stress in Arabidopsis. The Plant Journal, 73(6), 1034-1043."
"AT4G04810",127.512916485836,0.892178724422887,0.228481546067158,0.0000254576757538938,0.000145583946550524,"oxidative_stress","MSRB4","methionine sulfoxide reductase B4;(source:Araport11)","Vieira Dos Santos, C., Cuiné, S., Rouhier, N., & Rey, P. (2005). The Arabidopsis plastidic methionine sulfoxide reductase B proteins. Sequence and activity characteristics, comparison of the expression with plastidic methionine sulfoxide reductase A, and induction by photooxidative stress. Plant Physiology, 138(2), 909-922."
"AT4G13980",773.962713516311,-0.546677238761518,0.0996977813300169,0.0000000236782848965586,0.000000229864687458955,"temperature_stress_(heat_stress)","HSFA5","member of Heat Stress Transcription Factor (Hsf) family","Baniwal, S. K., Chan, K. Y., Scharf, K. D., & Nover, L. (2007). Role of heat stress transcription factor HsfA5 as specific repressor of HsfA4. Journal of Biological Chemistry, 282(6), 3605-3613.

"
"AT4G14690",37.6493132308786,2.81234152021038,0.538264408984617,0.0000000156521868092486,0.000000155674980600666,"radiation_stress_(uv-b)","ELIP2","Encodes an early light-induced protein. ELIPs are thought not to be directly involved in the synthesis and assembly of specific photosynthetic complexes, but rather affect the biogenesis of all chlorophyll-binding complexes. A study (PMID 17553115) has shown that the chlorophyll synthesis pathway was downregulated as a result of constitutive ELIP2 expression, leading to decreased chlorophyll availability for the assembly of pigment-binding proteins for photosynthesis.","Samson Ezeh, O., Hayami, N., Mitai, K., Kodama, W., Iuchi, S., & Y. Yamamoto, Y. (2024). Requirement of two simultaneous environmental signals for activation of Arabidopsis ELIP2 promoter in response to high light, cold, and UV-B stresses. Plant Signaling & Behavior, 19(1), 2389496."
"AT4G19020",877.237255308752,0.359319505621703,0.119075275927876,0.00193802568523279,0.00709840801080604,"temperature_stress_(heat_stress)","chromomethylase 2 /CMT2","Encodes a plant DNA methyltransferase that methylates mainly cytosines in CHH (H = any base but G) contexts. It is involved in heat tolerance.","Liu, S., de Jonge, J., Trejo‐Arellano, M. S., Santos‐González, J., Köhler, C., & Hennig, L. (2021). Role of H1 and DNA methylation in selective regulation of transposable elements during heat stress. New Phytologist, 229(4), 2238-2250."
