"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","transport_type","mineral_metal","remarks","references"
"AT1G15520",735.219829008067,6.36239993664446,0.720236083398057,0.0000000000000000000817450536022503,0.0000000000000000049281392980164,"PDR12","Heavy Metal Transporters","Lead","Lead resistance","Lee, M., Lee, K., Lee, J., Noh, E. W., & Lee, Y. (2005). Plant physiology, 138(2), 827-836."
"AT1G15960",248.910328615361,0.591581301283822,0.266956333255992,0.0143193081055109,0.0419414991701976,"AtNramp6","Micro Nutrient Transporters","Iron","Iron homeostasis; Cd transport","Li, J., Wang, Y., Zheng, L., Li, Y., Zhou, X., Li, J., ... & Zhang, W. (2019). Frontiers in plant science, 10, 1124."
"AT1G30220",269.380314367333,3.37529004020334,0.248823278928718,0.000000000000000000000000000000000000000000444153751817233,0.0000000000000000000000000000000000000001945763561086,"AtINT2","Heavy Metal Transporters","Arsenic","Arsenic accumulation in seeds","Duan, G. L., Hu, Y., Schneider, S., McDermott, J., Chen, J., Sauer, N., ... & Zhu, Y. G. (2015). Nature plants, 2(1), 1-6."
"AT1G30400",195.262793393444,0.872632246992306,0.411870202711669,0.00978155552839525,0.0302765175534467,"AtABCC1","Heavy Metal Transporters","Arsenic","arsenic detoxification","Song, W. Y., Park, J., Mendoza-Cózatl, D. G., Suter-Grotemeyer, M., Shim, D., Hörtensteiner, S., ... & Schroeder, J. I. (2010). Proceedings of the National Academy of Sciences, 107(49), 21187-21192."
"AT1G30400",195.262793393444,0.872632246992306,0.411870202711669,0.00978155552839525,0.0302765175534467,"AtABCC1","Heavy Metal Transporters","P- type ATPases- P1B subfamily, Heavy metal ATPases (HMA","Mediate tolerance to cadmium and mercury","Park, J., Song, W. Y., Ko, D., Eom, Y., Hansen, T. H., Schiller, M., ... & Lee, Y. (2012). The Plant Journal, 69(2), 278-288."
"AT1G47530",2117.53889874037,-0.24692755368462,0.0875389498295617,0.00435367927908624,0.0152765264785452,"DTX33","Micro Nutrient Transporters","Chlorine","chloride channel for turgor regulation","Zhang, H., Zhao, F. G., Tang, R. J., Yu, Y., Song, J., Wang, Y., ... & Luan, S. (2017). Proceedings of the National Academy of Sciences, 114(10), E2036-E2045."
"AT1G60960",1023.96125894802,0.953203949362119,0.280140325669186,0.000193888662012401,0.000998112706814717,"AtIRT3","Micro Nutrient Transporters","Iron","Zinc and iron uptake","Lin, Y. F., Liang, H. M., Yang, S. Y., Boch, A., Clemens, S., Chen, C. C., ... & Yeh, K. C. (2009). New Phytologist, 182(2), 392-404."
"AT1G80760",310.895738979613,0.627407602912806,0.295184101912704,0.0165142112437918,0.047315897377705,"NIP6;1","Heavy Metal Transporters","Arsenic","Arsenic transporters","Xu, W., Dai, W., Yan, H., Li, S., Shen, H., Chen, Y., ... & Ma, M. (2015). Molecular Plant, 8(5), 722-733."
"AT1G80830",2117.94494082933,0.617015289552338,0.150741917571732,0.0000239735648012631,0.000154409495418084,"NRAMP1","Micro Nutrient Transporters","Manganese",NA,"Cailliatte, R., Schikora, A., Briat, J. F., Mari, S., & Curie, C. (2010). The Plant Cell, 22(3), 904-917."
"AT1G80830",2117.94494082933,0.617015289552338,0.150741917571732,0.0000239735648012631,0.000154409495418084,"AtNramp1","Micro Nutrient Transporters","Iron","Iron homeostasis","CURIE, C., ALONSO, J. M., JEAN, M. L., ECKER, J. R., & BRIAT, J. F. (2000). Biochemical Journal, 347(3), 749-755."
