"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","transport_type","mineral_metal","remarks","references"
"AT1G10970",255.289301398246,0.961660494140479,0.180114981916969,0.0000000437990396965043,0.000000247230309174703,"ZIP4","Micro Nutrient Transporters","Zinc","Zinc uptake from soil and transport intracellularly","Grotz, N., Fox, T., Connolly, E., Park, W., Guerinot, M. L., & Eide, D. (1998). Proceedings of the National Academy of Sciences, 95(12), 7220-7224."
"AT1G15960",203.12847159234,0.756428368800091,0.220326983229217,0.000351880450871769,0.00113170483810912,"AtNramp6","Micro Nutrient Transporters","Iron","Iron homeostasis; Cd transport","Li, J., Wang, Y., Zheng, L., Li, Y., Zhou, X., Li, J., ... & Zhang, W. (2019). Frontiers in plant science, 10, 1124."
"AT1G30220",184.041725619587,2.71476906291969,0.256762766650888,0.00000000000000000000000000508167487013537,0.000000000000000000000000128981517857662,"AtINT2","Heavy Metal Transporters","Arsenic","Arsenic accumulation in seeds","Duan, G. L., Hu, Y., Schneider, S., McDermott, J., Chen, J., Sauer, N., ... & Zhu, Y. G. (2015). Nature plants, 2(1), 1-6."
"AT1G30400",56.6019635203868,0.931185383643584,0.426023102473593,0.0119594404190383,0.0275005939840395,"AtABCC1","Heavy Metal Transporters","Arsenic","arsenic detoxification","Song, W. Y., Park, J., Mendoza-Cózatl, D. G., Suter-Grotemeyer, M., Shim, D., Hörtensteiner, S., ... & Schroeder, J. I. (2010). Proceedings of the National Academy of Sciences, 107(49), 21187-21192."
"AT1G30400",56.6019635203868,0.931185383643584,0.426023102473593,0.0119594404190383,0.0275005939840395,"AtABCC1","Heavy Metal Transporters","P- type ATPases- P1B subfamily, Heavy metal ATPases (HMA","Mediate tolerance to cadmium and mercury","Park, J., Song, W. Y., Ko, D., Eom, Y., Hansen, T. H., Schiller, M., ... & Lee, Y. (2012). The Plant Journal, 69(2), 278-288."
"AT1G31885",17.0769295992142,1.53048842391585,0.898033395460076,0.0118905551474399,0.027354258320388,"NIP3;1","Heavy Metal Transporters","Arsenic","Arsenic transporters","Xu, W., Dai, W., Yan, H., Li, S., Shen, H., Chen, Y., ... & Ma, M. (2015). Molecular Plant, 8(5), 722-733."
"AT1G47530",2080.38677272033,-0.307588411876715,0.0700169804238536,0.0000101835188828812,0.0000420554161470317,"DTX33","Micro Nutrient Transporters","Chlorine","chloride channel for turgor regulation","Zhang, H., Zhao, F. G., Tang, R. J., Yu, Y., Song, J., Wang, Y., ... & Luan, S. (2017). Proceedings of the National Academy of Sciences, 114(10), E2036-E2045."
"AT1G60960",513.200348858817,2.0027448206276,0.252797217463566,0.000000000000000326754698937153,0.000000000000004034824603124,"AtIRT3","Micro Nutrient Transporters","Iron","Zinc and iron uptake","Lin, Y. F., Liang, H. M., Yang, S. Y., Boch, A., Clemens, S., Chen, C. C., ... & Yeh, K. C. (2009). New Phytologist, 182(2), 392-404."
"AT1G78000",19.700102702608,5.6571178495122,1.34788314649569,0.00000149200558452258,0.00000692400027982018,"SULTR1;2","Heavy Metal Transporters","Selenium","Influx of selenate into plant roots","Shibagaki, N., Rose, A., McDermott, J. P., Fujiwara, T., Hayashi, H., Yoneyama, T., & Davies, J. P. (2002). The Plant Journal, 29(4), 475-486."
"AT1G78000",4.56234348884297,1.8748216114189,1.34445219891065,0.015961491784022,0.035422118707143,"SULTR1;2","Heavy Metal Transporters","Selenium","Influx of selenate into plant roots","Shibagaki, N., Rose, A., McDermott, J. P., Fujiwara, T., Hayashi, H., Yoneyama, T., & Davies, J. P. (2002). The Plant Journal, 29(4), 475-486."
"AT1G80310",1875.74090841325,0.412850416332524,0.11766156099457,0.000381627750711449,0.00122000129725231,"MOT2","Micro Nutrient Transporters","Molybdenum",NA,"Gasber, A., Klaumann, S., Trentmann, O., Trampczynska, A., Clemens, S., Schneider, S., ... & Neuhaus, H. E. (2011). Plant Biology, 13(5), 710-718."
"AT1G80760",220.080992324051,0.68704179330771,0.301556086489838,0.0139607004584312,0.0314640825566252,"NIP6;1","Heavy Metal Transporters","Arsenic","Arsenic transporters","Xu, W., Dai, W., Yan, H., Li, S., Shen, H., Chen, Y., ... & Ma, M. (2015). Molecular Plant, 8(5), 722-733."
"AT1G80900",233.830755543082,0.384182895814181,0.137891044176561,0.00455365836164435,0.0116076875134934,"AtMGT1","Macro Nutrient Transporters","Magnesium","MGT10- for chloroplast development and photosynthesis","Li, L., Tutone, A. F., Drummond, R. S., Gardner, R. C., & Luan, S. (2001). The Plant Cell, 13(12), 2761-2775."
"AT2G17790",1828.47250823705,0.492153316110936,0.11612141813481,0.0000188897231104682,0.0000749236780767762,"ZIP3","Micro Nutrient Transporters","Zinc","Zinc uptake from soil and transport intracellularly","Grotz, N., Fox, T., Connolly, E., Park, W., Guerinot, M. L., & Eide, D. (1998). Proceedings of the National Academy of Sciences, 95(12), 7220-7224."
