"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","transport_type","mineral_metal","remarks","references"
"AT1G10970",400.702236950005,1.28431838572836,0.322865215700899,0.0000000822144734479088,0.00000967029282597169,"ZIP4","Micro Nutrient Transporters","Zinc","Zinc uptake from soil and transport intracellularly","Grotz, N., Fox, T., Connolly, E., Park, W., Guerinot, M. L., & Eide, D. (1998). Proceedings of the National Academy of Sciences, 95(12), 7220-7224."
"AT1G60960",757.851488123831,0.774461358226566,0.311392409606331,0.0000743626022748159,0.0024183850935169,"AtIRT3","Micro Nutrient Transporters","Iron","Zinc and iron uptake","Lin, Y. F., Liang, H. M., Yang, S. Y., Boch, A., Clemens, S., Chen, C. C., ... & Yeh, K. C. (2009). New Phytologist, 182(2), 392-404."
"AT1G80830",1740.02060556361,0.306014251668302,0.163347325653275,0.0022992947840939,0.0334308271235799,"AtNramp1","Micro Nutrient Transporters","Iron","Iron homeostasis","CURIE, C., ALONSO, J. M., JEAN, M. L., ECKER, J. R., & BRIAT, J. F. (2000). Biochemical Journal, 347(3), 749-755."
"AT1G80830",1740.02060556361,0.306014251668302,0.163347325653275,0.0022992947840939,0.0334308271235799,"NRAMP1","Micro Nutrient Transporters","Manganese",NA,"Cailliatte, R., Schikora, A., Briat, J. F., Mari, S., & Curie, C. (2010). The Plant Cell, 22(3), 904-917."
"AT2G25680",138.426485083435,-0.527579762659394,0.293899973979821,0.000898535628541275,0.0164744630616766,"MOT1","Micro Nutrient Transporters","Molybdenum",NA,"Tomatsu, H., Takano, J., Takahashi, H., Watanabe-Takahashi, A., Shibagaki, N., & Fujiwara, T. (2007). Proceedings of the National Academy of Sciences, 104(47), 18807-18812."
"AT2G26650",1363.21697559617,0.376853181536527,0.166914621517794,0.000607814322601312,0.0122062625884406,"AtAKT1","Macro Nutrient Transporters","Potassium","Two major contibutors","Nieves-Cordones, M., Martínez, V., Benito, B., & Rubio, F. (2016). Frontiers in plant science, 7, 992. https://doi.org/10.3389/fpls.2016.00992"
"AT3G12750",288.480547696225,0.392878961409638,0.206029126104454,0.00134548955534188,0.0224740232445413,"ZIP1","Micro Nutrient Transporters","Zinc","Zinc uptake from soil and transport intracellularly","Grotz, N., Fox, T., Connolly, E., Park, W., Guerinot, M. L., & Eide, D. (1998). Proceedings of the National Academy of Sciences, 95(12), 7220-7224."
"AT3G13080",99.1437856126967,-1.61905076320964,0.501405009002385,0.00000180662335659303,0.000119890211464719,"AtABCC3","Heavy Metal Transporters","Arsenic","Cadmium transport and tolerance","Brunetti, P., Zanella, L., De Paolis, A., Di Litta, D., Cecchetti, V., Falasca, G., ... & Cardarelli, M. (2015). C increases. Journal of Experimental Botany, 66(13), 3815-3829."
"AT4G10380",361.67844776045,0.364896560092976,0.209171393154718,0.00223101623825164,0.0328264498521907,"NIP5;1","Heavy Metal Transporters","Arsenic","Arsenic transporters","Xu, W., Dai, W., Yan, H., Li, S., Shen, H., Chen, Y., ... & Ma, M. (2015). Molecular Plant, 8(5), 722-733."
"AT5G59030",1971.07067000082,-0.522275536974406,0.115547548053234,0.000000197461194920464,0.0000190133835873661,"COPT1-5","Micro Nutrient Transporters","Copper","copper","Sancenón, V., Puig, S., Mira, H., Thiele, D. J., & Peñarrubia, L. (2003). Plant molecular biology, 51(4), 577-587."
