"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","transport_type","mineral_metal","remarks","references"
"AT1G80830",1740.02060556361,0.608921484227651,0.16629036015017,0.00000171960521092502,0.000220181980471153,"AtNramp1","Micro Nutrient Transporters","Iron","Iron homeostasis","CURIE, C., ALONSO, J. M., JEAN, M. L., ECKER, J. R., & BRIAT, J. F. (2000). Biochemical Journal, 347(3), 749-755."
"AT1G80830",1740.02060556361,0.608921484227651,0.16629036015017,0.00000171960521092502,0.000220181980471153,"NRAMP1","Micro Nutrient Transporters","Manganese",NA,"Cailliatte, R., Schikora, A., Briat, J. F., Mari, S., & Curie, C. (2010). The Plant Cell, 22(3), 904-917."
"AT2G26650",1363.21697559617,0.401345651016484,0.164119917122656,0.000246561197794065,0.0095534206977068,"AtAKT1","Macro Nutrient Transporters","Potassium","Two major contibutors","Nieves-Cordones, M., Martínez, V., Benito, B., & Rubio, F. (2016). Frontiers in plant science, 7, 992. https://doi.org/10.3389/fpls.2016.00992"
"AT2G38460",305.637584070346,-0.363308640285206,0.213680218040461,0.00165470804809389,0.0356702023957765,"IREG1/FPN1","Heavy Metal Transporters","Cobalt","iron and cobalt homeostasis","Morrissey, J., Baxter, I. R., Lee, J., Li, L., Lahner, B., Grotz, N., Kaplan, J., Salt, D. E., & Guerinot, M. L. (2009). The Plant cell, 21(10), 3326–3338. https://doi.org/10.1105/tpc.109.069401"
"AT3G12750",288.480547696225,0.4165047755139,0.21105364646001,0.000656867616559889,0.0184678851719318,"ZIP1","Micro Nutrient Transporters","Zinc","Zinc uptake from soil and transport intracellularly","Grotz, N., Fox, T., Connolly, E., Park, W., Guerinot, M. L., & Eide, D. (1998). Proceedings of the National Academy of Sciences, 95(12), 7220-7224."
"AT4G08620",81.8130890595978,0.867591730524519,0.552654914349719,0.00025954904223797,0.00990433553459256,"SULTR1;1","Macro Nutrient Transporters","Sulfer/Sulphate","high affinity transporter","Takahashi, H., Watanabe‐Takahashi, A., Smith, F. W., Blake‐Kalff, M., Hawkesford, M. J., & Saito, K. (2000). The Plant Journal, 23(2), 171-182."
"AT4G10380",361.67844776045,0.560746301156163,0.224495997561996,0.0000898142339573777,0.00467892534991192,"NIP5;1","Heavy Metal Transporters","Arsenic","Arsenic transporters","Xu, W., Dai, W., Yan, H., Li, S., Shen, H., Chen, Y., ... & Ma, M. (2015). Molecular Plant, 8(5), 722-733."
"AT4G21680",278.570181471751,0.729049736226085,0.4834654167336,0.000500341419544348,0.0152360413644916,"NRT1.8","Heavy Metal Transporters","Cadmium","Remove nitrate from xylem vessels; mediates cadmium tolerance","Li, J. Y., Fu, Y. L., Pike, S. M., Bao, J., Tian, W., Zhang, Y., ... & Li, L. G. (2010). The Plant Cell, 22(5), 1633-1646."
"AT5G43350",526.788174241944,0.955740887700433,0.590982263186766,0.000167857024586785,0.00725162816583764,"AtPT1","Macro Nutrient Transporters","Phosphate/Phosphorus",NA,"Muchhal, U. S., Pardo, J. M., & Raghothama, K. G. (1996). Proceedings of the National Academy of Sciences, 93(19), 10519-10523."
"AT5G59030",1971.07067000082,-0.555840728279722,0.118125225925647,0.0000000210009116996437,0.00000637677683108467,"COPT1-5","Micro Nutrient Transporters","Copper","copper","Sancenón, V., Puig, S., Mira, H., Thiele, D. J., & Peñarrubia, L. (2003). Plant molecular biology, 51(4), 577-587."
