"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","gene_pathway","enzyme_name"
"AT1G03310",132.733259293313,1.07525641913872,0.371386651294023,0.0014042690521508,0.00432269917905202,"ISA2","Starch Synthesis","Isoamylase 2"
"AT1G03310",13.0063248560404,1.25264348118713,0.633445401048953,0.0121710727791886,0.0294089552804835,"ISA2","Starch Synthesis","Isoamylase 2"
"AT1G10760",29554.3703578425,0.363976065959225,0.157932394656645,0.0182720133096135,0.0419551219073337,"GWD1","Starch Degradation","Glucan, water dikinase 1"
"AT1G27680",682.860390745403,0.573575276547468,0.118603740116148,0.000000984610351015482,0.00000554139049670465,"APL2","Starch Synthesis","AGPase large subunit 2"
"AT1G32900",1136.84606050156,1.63854315786835,0.250960659393452,0.0000000000144017874043088,0.000000000154480454817658,"GBSS1","Starch Synthesis","Granule-bound starch synthase"
"AT1G61800",750.53743709572,6.2467171775756,0.696490334120707,0.000000000000000000016960404114933,0.000000000000000000468365286196409,"GPT2","Sugar Transporter","Glc6P/Pi translocator 2 (GPT2)"
"AT1G69830",11419.6585819816,-0.43491981181854,0.148130071039576,0.0027234847905968,0.00785257225041703,"AMY3","Starch Degradation","α-amylase 3"
"AT1G74910",63.7898002184497,-1.468880937002,0.344036488719606,0.00000446010777007777,0.0000223384915021394,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 1"
"AT1G76130",595.491976703052,1.18536873722817,0.162890098224659,0.00000000000012810774968132,0.00000000000175755919624025,"AMY2","Starch Degradation","α-amylase 2"
"AT2G04650",279.225857536238,0.584347092521064,0.159633952396747,0.000186430588913319,0.000697760622218427,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 2"
"AT2G19860",356.319262963623,0.447282084512206,0.188475791219376,0.0146826555774583,0.0346205382038265,"HXK2","Starch Degradation","Hexokinase 2"
"AT2G21590",57.9961773815839,3.40655764180915,0.5105589069187,0.00000000000226502674113748,0.0000000000265586130147851,"APL4","Starch Synthesis","AGPase large subunit 4"
"AT2G40840",7398.97952145072,1.25517885774698,0.158350296350216,0.000000000000000895935422261227,0.0000000000000155760972702837,"DPE2","Starch Degradation","Transglucosidase"
"AT2G45880",775.170016307778,-0.331764423344528,0.124827693411018,0.00711661192161788,0.0183103161734057,"BAM7","Starch Degradation","β-amylase 7"
"AT3G01180",1361.94922218913,0.276569964235789,0.109800061091599,0.0111831133039962,0.0272646588074813,"SS2","Starch Synthesis","Starch synthase 2"
"AT3G01510",779.206966881971,0.567898896808152,0.179248418112002,0.00114695367926296,0.00360557119890313,"LSF1","Starch Degradation","Like Sex Four 1"
"AT3G10940",593.786158391783,0.533543238499831,0.203615633928919,0.00658635988109374,0.0170945464225224,"LSF2","Starch Degradation","Like Sex Four 2"
"AT3G23640",267.605742139914,0.785104188755871,0.232155874513831,0.000417601386409288,0.00144987194728949,"HGL1","Starch Degradation","Heteroglycan glucosidase"
"AT3G23920",4589.64125966262,0.701067296324137,0.0884332968483012,0.00000000000000154563791552458,0.0000000000000263207937167818,"BAM1","Starch Degradation","β-amylase 1"
"AT3G46970",14424.8634562628,0.86611166701279,0.155322023179,0.0000000117698515180676,0.0000000878476895605478,"PHS2","Starch Degradation","α-glucan phosphorylase 2"
"AT3G52180",129.635562881736,0.8255055057971,0.252460027284066,0.0005874343634186,0.00197562281340298,"SEX4","Starch Degradation","SEX4"
"AT4G00490",1256.39195008833,0.616621313224194,0.155533294970933,0.0000525770311254814,0.000218632538242096,"BAM2","Starch Degradation","β-amylase 2"
"AT4G09020",6173.32904550427,0.956187969596696,0.116980252746974,0.000000000000000159230979133081,0.00000000000000296643975225151,"ISA3","Starch Synthesis","Isoamylase 3"
"AT4G15210",35.0887104769515,2.4097351156057,0.564717105978446,0.00000215845813492911,0.0000114902218691009,"BAM5","Starch Degradation","β-amylase 5"
"AT4G17090",6101.58316786347,0.57709856424682,0.230641060392989,0.00890999547436572,0.0222858007375044,"BAM3","Starch Degradation","β-amylase 3"
"AT4G24450",2091.37318251653,1.51907078885745,0.14120505178777,0.00000000000000000000000000145803899496215,0.0000000000000000000000000738928474894783,"GWD2","Starch Degradation","Glucan, water dikinase 2"
"AT4G25000",87.7984296456332,4.02595832196853,0.442506998886157,0.0000000000000000000109049974581513,0.000000000000000000307404003839462,"AMY1","Starch Degradation","α-amylase 1"
"AT4G29130",2655.90256429931,0.893779672347863,0.113676655666311,0.00000000000000237892289884344,0.0000000000000397747881172624,"GIN2, HXK1","Starch Degradation","Hexokinase 1"
"AT4G39210",1477.29408472292,3.17004589123979,0.208862980143648,0.0000000000000000000000000000000000000000000000000000442761392174065,0.0000000000000000000000000000000000000000000000000112947992765988,"APL3","Starch Synthesis","AGPase large subunit 3"
"AT5G03650",4018.33533391164,0.531351869125378,0.10852552126634,0.00000081614941643492,0.00000463377913495939,"SBE2","Starch Synthesis","branching enzymes 2"
"AT5G04360",2699.56374860264,-0.450359682812388,0.111929500679125,0.0000483174830557895,0.000202291184746899,"LDA1","Starch Synthesis","Limit dextrinase"
"AT5G09650",4831.07775770288,0.40719581500032,0.154084084214804,0.00719530182388467,0.0184961539950502,"PPa6","Starch Degradation","Inorganic diphosphatase/ pyrophosphatase"
"AT5G16150",846.975012228271,-1.03417337500498,0.217086645572024,0.000000775028400403332,0.00000441490310333669,"GLT1","Starch Degradation","Glucose transporter"
"AT5G16150",846.975012228271,-1.03417337500498,0.217086645572024,0.000000775028400403332,0.00000441490310333669,"pGlcT, GLT1","Sugar Transporter","Glc transporter (pGlcT, GLT1)"
"AT5G17520",1263.23750040269,0.771981611931911,0.128906270049223,0.00000000130688439619851,0.0000000109823471846232,"MEX 1","Starch Degradation","Maltose transporter"
"AT5G17520",1263.23750040269,0.771981611931911,0.128906270049223,0.00000000130688439619851,0.0000000109823471846232,"MEX1","Sugar Transporter","Maltose transporter (MEX1)"
"AT5G17523",342.972463259687,0.601470682470548,0.197996790524039,0.0016903955198651,0.0051202728155801,NA,"Starch Degradation","Similar to MEX1"
"AT5G18670",810.128827958627,-0.877938693312065,0.184332355906347,0.000000921186887739545,0.00000519693018668915,"BAM9","Starch Degradation","β-amylase 9"
"AT5G19220",4587.31781274099,-0.790745236965622,0.106543396955403,0.0000000000000674596987633248,0.000000000000959745521058566,"APL1","Starch Synthesis","AGPase large subunit 1"
"AT5G48300",11611.4847538764,1.0874388427884,0.1643053894054,0.0000000000145372349102286,0.000000000155803601273727,"APS1","Starch Synthesis","AGPase small subunit 1"
"AT5G51820",5198.42097160062,-0.36777128317648,0.147031465479625,0.0108126104296603,0.0264464503246818,"PGM1","Starch Degradation","Phosphoglucomutase"
