"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","gene_pathway","enzyme_name"
"AT1G03310",9.16858996640863,1.31151515898566,0.747240767529727,0.0154471688534905,0.0348358880296148,"ISA2","Starch Synthesis","Isoamylase 2"
"AT1G03310",94.812110548633,1.11163534415919,0.355086398602113,0.000524683588302773,0.00166660745459027,"ISA2","Starch Synthesis","Isoamylase 2"
"AT1G27680",626.735249932958,0.426153295049083,0.0967074165776822,0.00000959654659093503,0.0000410104301630676,"APL2","Starch Synthesis","AGPase large subunit 2"
"AT1G32900",1282.59864716891,1.28226662221059,0.183264546333837,0.000000000000700200380220734,0.00000000000702151488030611,"GBSS1","Starch Synthesis","Granule-bound starch synthase"
"AT1G69830",11171.14817819,-0.906353628691636,0.141928678361523,0.0000000000760901504934082,0.000000000618574430562225,"AMY3","Starch Degradation","α-amylase 3"
"AT1G74910",75.8404248331598,-1.54337689303296,0.329989954121457,0.000000529807608321642,0.00000271854065277906,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 1"
"AT1G76130",427.271352585722,0.842204944693095,0.160203690632662,0.000000075493435060436,0.000000432981539669854,"AMY2","Starch Degradation","α-amylase 2"
"AT2G04650",245.318236402475,0.834503236129869,0.17782950244464,0.00000130216047504756,0.00000632899035532439,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 2"
"AT2G21590",40.6116838407988,4.36320184709992,0.745020994217062,0.00000000046378442547269,0.00000000345083164101709,"APL4","Starch Synthesis","AGPase large subunit 4"
"AT2G32290",84.9935798152681,1.55362497023709,0.429371874538784,0.0000513628920823814,0.00019611076742333,"BAM6","Starch Degradation","β-amylase 6"
"AT2G36390",4449.87775615308,-0.474537141751711,0.125052887659933,0.000111233323209181,0.000399342790686776,"SBE3","Starch Synthesis","branching enzymes 3"
"AT2G40840",6923.50652352158,1.08471715276336,0.137958156566631,0.00000000000000140021388173984,0.0000000000000178171637910034,"DPE2","Starch Degradation","Transglucosidase"
"AT2G45880",706.837181712675,-0.452557254364532,0.106059931955517,0.0000158703351068678,0.0000654036987605772,"BAM7","Starch Degradation","β-amylase 7"
"AT3G01510",763.430721812048,0.541883759075628,0.138124098020056,0.0000637790168381462,0.000239684903549268,"LSF1","Starch Degradation","Like Sex Four 1"
"AT3G10940",578.407563817518,0.725469236411618,0.169054358734553,0.00000992735869317945,0.0000423250362038091,"LSF2","Starch Degradation","Like Sex Four 2"
"AT3G23640",242.168825746954,0.632988069131316,0.201634554979054,0.00108449955325931,0.00322397301749024,"HGL1","Starch Degradation","Heteroglycan glucosidase"
"AT3G46970",9725.19865914934,0.774355702769269,0.164568029921955,0.00000137260679593147,0.00000664358330040631,"PHS2","Starch Degradation","α-glucan phosphorylase 2"
"AT3G52180",96.9193025895947,1.17640351830862,0.258614635410697,0.00000169778877942905,0.0000080949214850971,"SEX4","Starch Degradation","SEX4"
"AT4G00490",1164.38252853133,1.13077013892772,0.166670830875452,0.00000000000434325805840626,0.0000000000403397261542488,"BAM2","Starch Degradation","β-amylase 2"
"AT4G24450",1326.45907092819,0.914116242988727,0.170803178513867,0.000000039779686669978,0.000000236594686709639,"GWD2","Starch Degradation","Glucan, water dikinase 2"
"AT4G29130",2008.92485614711,0.825746965229532,0.0947314899671107,0.00000000000000000143360274794531,0.0000000000000000229655070926337,"GIN2, HXK1","Starch Degradation","Hexokinase 1"
"AT4G39210",760.639629267356,2.35213582357147,0.201001502937594,0.0000000000000000000000000000000147239647801366,0.000000000000000000000000000000597161943011538,"APL3","Starch Synthesis","AGPase large subunit 3"
"AT5G03650",4067.25059930882,0.650349645092754,0.136949034202549,0.00000133953375829558,0.00000649704386070812,"SBE2","Starch Synthesis","branching enzymes 2"
"AT5G04360",2462.29828049613,-0.437078207451621,0.119792999371991,0.000215106853299558,0.000736163301454193,"LDA1","Starch Synthesis","Limit dextrinase"
"AT5G09650",4592.20958614451,0.398611940160691,0.109696803442665,0.00024483438707359,0.00082989697852445,"PPa6","Starch Degradation","Inorganic diphosphatase/ pyrophosphatase"
"AT5G16150",841.702614477677,-0.96170284457873,0.162942806563206,0.00000000149808578568407,0.0000000104783985518789,"GLT1","Starch Degradation","Glucose transporter"
"AT5G16150",841.702614477677,-0.96170284457873,0.162942806563206,0.00000000149808578568407,0.0000000104783985518789,"pGlcT, GLT1","Sugar Transporter","Glc transporter (pGlcT, GLT1)"
"AT5G17520",1014.14092449375,0.745001020340486,0.153437262057828,0.000000647829886533485,0.00000327906129770544,"MEX 1","Starch Degradation","Maltose transporter"
"AT5G17520",1014.14092449375,0.745001020340486,0.153437262057828,0.000000647829886533485,0.00000327906129770544,"MEX1","Sugar Transporter","Maltose transporter (MEX1)"
"AT5G17523",295.178887287657,0.805060973504657,0.189230753919867,0.0000105071951564622,0.0000446704398407262,NA,"Starch Degradation","Similar to MEX1"
