"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","gene_pathway","enzyme_name"
"AT1G03310",132.733259293313,1.0188524054991,0.377561583863742,0.00167680437527273,0.00667193505964935,"ISA2","Starch Synthesis","Isoamylase 2"
"AT1G27680",682.860390745403,0.505059548897909,0.118606233376242,0.0000138666097234319,0.00009435253341455,"APL2","Starch Synthesis","AGPase large subunit 2"
"AT1G61800",750.53743709572,4.28331944626824,0.706740871474322,0.0000000000692428133406308,0.00000000130562937493435,"GPT2","Sugar Transporter","Glc6P/Pi translocator 2 (GPT2)"
"AT1G74910",63.7898002184497,-0.904351354711589,0.335199343549803,0.0020153509970175,0.00783168257785406,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 1"
"AT1G76130",595.491976703052,0.779450279238574,0.163272234683083,0.000000760193456221152,0.00000680343377486312,"AMY2","Starch Degradation","α-amylase 2"
"AT2G04650",279.225857536238,0.678843780946262,0.159978230324676,0.0000110472447707889,0.0000768395948134919,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 2"
"AT2G21590",43.4959739990373,0.959326455160104,0.380728471546773,0.00315849268739157,0.0116039124107269,"APL4","Starch Synthesis","AGPase large subunit 4"
"AT2G21590",57.9961773815839,2.89556133958003,0.516716069753067,0.00000000165421027667444,0.0000000240891507603256,"APL4","Starch Synthesis","AGPase large subunit 4"
"AT2G32290",93.4234070254833,0.781310790962513,0.333327307863202,0.00702977426780243,0.022962298574523,"BAM6","Starch Degradation","β-amylase 6"
"AT2G40840",7398.97952145072,0.897681353214762,0.158292227870812,0.00000000531026352864624,0.0000000707093601066193,"DPE2","Starch Degradation","Transglucosidase"
"AT2G45880",775.170016307778,-0.310099536878547,0.124321005628655,0.0107973289817547,0.0328938099542677,"BAM7","Starch Degradation","β-amylase 7"
"AT3G01510",779.206966881971,0.481027883577342,0.178447914665486,0.00482832121297047,0.0166836365298973,"LSF1","Starch Degradation","Like Sex Four 1"
"AT3G10940",593.786158391783,0.612003198504809,0.204336179766273,0.00144736552049457,0.0058529234932615,"LSF2","Starch Degradation","Like Sex Four 2"
"AT3G23640",267.605742139914,0.603832767039195,0.231218803379507,0.00493214886513408,0.0169821237778425,"HGL1","Starch Degradation","Heteroglycan glucosidase"
"AT3G46970",14424.8634562628,0.789433362845991,0.155531522051359,0.000000141789909641172,0.00000146269535907308,"PHS2","Starch Degradation","α-glucan phosphorylase 2"
"AT4G00490",1256.39195008833,0.645271266393253,0.155804774959995,0.0000183163082851031,0.00012124003104355,"BAM2","Starch Degradation","β-amylase 2"
"AT4G09020",6173.32904550427,0.68938302198523,0.11701693613694,0.0000000027844181322248,0.000000038888645380196,"ISA3","Starch Synthesis","Isoamylase 3"
"AT4G15210",35.0887104769515,1.65381558325518,0.583449625123864,0.000479124813272944,0.00221332086412642,"BAM5","Starch Degradation","β-amylase 5"
"AT4G24450",2091.37318251653,0.809392225784074,0.141254730025479,0.00000000418120296933988,0.0000000566802063172248,"GWD2","Starch Degradation","Glucan, water dikinase 2"
"AT4G25000",87.7984296456332,2.39833566097329,0.454713150600443,0.0000000133634644638273,0.000000164369987567478,"AMY1","Starch Degradation","α-amylase 1"
"AT4G29130",2655.90256429931,0.707126762631736,0.11375170462209,0.000000000302062094851763,0.00000000507978385360115,"GIN2, HXK1","Starch Degradation","Hexokinase 1"
"AT4G39210",1477.29408472292,1.84963988535141,0.210322337825859,0.000000000000000000164697315001346,0.00000000000000000979427358554387,"APL3","Starch Synthesis","AGPase large subunit 3"
"AT5G03650",4018.33533391164,0.299474601951893,0.107985455634566,0.00495630995459378,0.0170452187827421,"SBE2","Starch Synthesis","branching enzymes 2"
"AT5G04360",2699.56374860264,-0.276092470388885,0.111177882885232,0.0113628907118998,0.0343381906601847,"LDA1","Starch Synthesis","Limit dextrinase"
"AT5G09650",4831.07775770288,0.447517814084462,0.153733178220701,0.00263397530485315,0.00991607575022414,"PPa6","Starch Degradation","Inorganic diphosphatase/ pyrophosphatase"
"AT5G16150",846.975012228271,-0.66371021224009,0.214890705120868,0.000976982671176256,0.00416207285443564,"GLT1","Starch Degradation","Glucose transporter"
"AT5G16150",846.975012228271,-0.66371021224009,0.214890705120868,0.000976982671176256,0.00416207285443564,"pGlcT, GLT1","Sugar Transporter","Glc transporter (pGlcT, GLT1)"
"AT5G17520",1263.23750040269,0.822942468934637,0.129236523924659,0.0000000000772963978946738,0.00000000144401977161443,"MEX 1","Starch Degradation","Maltose transporter"
"AT5G17520",1263.23750040269,0.822942468934637,0.129236523924659,0.0000000000772963978946738,0.00000000144401977161443,"MEX1","Sugar Transporter","Maltose transporter (MEX1)"
"AT5G17523",342.972463259687,0.621063539894116,0.198421579850369,0.000939955470956586,0.00402062319838793,NA,"Starch Degradation","Similar to MEX1"
"AT5G19220",4587.31781274099,-0.510388279555012,0.106079625282784,0.000000993868783898417,0.00000868478756142616,"APL1","Starch Synthesis","AGPase large subunit 1"
"AT5G48300",11611.4847538764,0.796374168252143,0.164147168677778,0.000000500961869001018,0.0000046283946315261,"APS1","Starch Synthesis","AGPase small subunit 1"
"AT5G54800",1870.43489440223,0.911369428898782,0.134101580223021,0.00000000000377880624181294,0.0000000000875118256088573,"GPT1","Sugar Transporter","Glc6P/Pi translocator 1 (GPT1)"
"AT5G55700",480.578712376565,-2.20370130537976,0.218389800262794,0.000000000000000000000000541925346164785,0.0000000000000000000000574375311449249,"BAM4","Starch Degradation","β-amylase 4"
