"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010.1",437.237305999891,0.16724674627524,0.17871628932104,0.139765811918909,0.399182743174117
"AT1G01020.1",0.672511402878437,-0.00091122551225766,0.193895809265416,0.948649342504736,NA
"AT1G01020.2",9.27834591222615,0.0429653136167939,0.194502772467311,0.36876503443193,0.658899547032631
"AT1G01030.1",89.7498012677368,-0.286096330750959,0.213980016775754,0.033476181585831,0.168376609740426
"AT1G01040.1",143.898222669285,0.0161305338155788,0.143478835024153,0.870062593462979,0.954453059758064
"AT1G01040.2",13.3010481293809,0.115343318503204,0.231082694120374,0.0817560915437809,0.290909790255915
"AT1G01046.1",38.956350100191,0.0335174351257424,0.175528725426338,0.676945593873091,0.864888477308633
"AT1G01050.1",1964.88827296783,0.1215295746726,0.0791511618822298,0.0923451616370208,0.313051757685573
"AT1G01060.3",1.50052957218602,0.0114050571673092,0.194161913128564,0.484027547782931,NA
"AT1G01060.5",8.349973991186,0.0120116743966824,0.193393700302774,0.547696205653771,0.790343159288516
"AT1G01070.1",7.88803205650126,0.00516191233259708,0.190834188516674,0.87941705825989,0.959041309828625
"AT1G01070.2",8.34295919327141,0.0173399757913335,0.189636707445517,0.695359294646072,0.87396636961001
"AT1G01080.2",18.2754324821495,0.0113323657218397,0.181431736750044,0.86398880794031,0.952747448305903
"AT1G01090.1",8664.2887995905,-0.0553323111049454,0.0749803978477881,0.421339601676198,0.700708561659005
"AT1G01100.1",7.90011921044132,0.055625577637012,0.199413162743149,0.239516259419032,0.53383013409236
"AT1G01100.2",15.2383505655022,-0.0734746587841907,0.204735641532621,0.196474584337304,0.481707510044065
"AT1G01100.4",3.33963323725961,-0.0408313639944666,0.198568168111029,0.109174870340017,0.345300891423463
"AT1G01110.1",2.09524933595202,0.0021377189901764,0.193000047101482,0.909127544297033,0.969412705177588
"AT1G01110.2",68.6229468409717,-0.0627084916789557,0.182499693269845,0.44805758358575,0.721051600668408
"AT1G01120.1",1459.461753601,0.159042041973446,0.204088302528233,0.152993150101756,0.42070113720927
"AT1G01130.1",48.8671018127451,-0.114822121526482,0.18802200898516,0.253020311207496,0.54911797675194
"AT1G01140.1",1.40001704655591,-0.020531199090723,0.194549683177038,0.287379875446819,NA
"AT1G01140.2",6.1308741541701,0.00898769127558654,0.189317164755932,0.836377061754617,0.942076644022268
"AT1G01140.3",2.78174979818283,0.0110460383650552,0.192956241548992,0.631318015062461,0.840043865808451
"AT1G01150.1",2.39109072800259,0.0260729938998083,0.195793271791907,0.135981742443795,0.393470890337723
"AT1G01160.1",30.9961682314306,-0.109110933443271,0.199345345984684,0.237852168895421,0.531837970209348
"AT1G01160.2",62.4163531973896,-0.0573116096054188,0.163612053893963,0.544774383307833,0.788400394186865
"AT1G01170.1",1729.82921825854,0.0324233498267003,0.0923456727874821,0.687814300069296,0.869923486753965
"AT1G01180.1",918.785534844539,0.0502217768110033,0.0954860570078972,0.554181463562079,0.79496645134396
"AT1G01190.1",7.11605110322929,0.0078863418379497,0.187345083594212,0.875863313816007,0.957386524973626
"AT1G01200.1",13.9708312599483,0.0416887962332945,0.192479556551224,0.427646476377324,0.704602311569143
"AT1G01210.1",302.973004237681,-0.0523961896322808,0.120288203352082,0.57594962618746,0.808123556108427
"AT1G01220.1",1195.66853316996,0.146065858447063,0.0858274541839166,0.0575780250683696,0.23489960263795
"AT1G01225.1",65.2553820288382,0.149026038613696,0.211525363677966,0.159183678730975,0.429818720678727
"AT1G01230.1",1297.14660680444,-0.000829342846912501,0.0797939214704207,0.989824611789335,0.996776026985687
"AT1G01240.3",135.969833721062,0.032366718983696,0.157540663440899,0.725314711054439,0.888230349760428
"AT1G01250.1",49.8773788212823,0.336911308243121,0.613541896200158,0.0182383714889812,0.112845033790012
"AT1G01260.1",55.9651011489234,-0.0408241041184539,0.168002945328466,0.644517276578766,0.847269840446467
"AT1G01260.3",0.778029082245444,0.0108560378012361,0.194125823063202,0.491186894689805,NA
"AT1G01290.1",43.1406521090465,0.0500908085911088,0.170721620068147,0.573852140632992,0.806409926786018
"AT1G01290.2",84.6698155274999,0.0132910198515181,0.163010743851834,0.883729344376179,0.960510764609662
