"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010.1",481.647863065341,-0.00077548211955414,0.117866767959053,0.989527481963726,0.996732902323649
"AT1G01020.1",0.699483450248134,0.0120015922684778,0.268622374134088,0.626331215866536,NA
"AT1G01020.2",9.82977235359821,0.0098360050719692,0.189833012749032,0.852534155168709,NA
"AT1G01030.1",90.2322776047333,-0.040171293736365,0.114940101999981,0.507645846955347,0.802626410208065
"AT1G01040.1",153.217100486051,0.00621571441323919,0.106638592833025,0.914924609422816,0.973413302556585
"AT1G01040.2",16.032041355715,0.074353627025386,0.19230399347454,0.262981897787014,NA
"AT1G01046.1",45.1250687672771,0.0516513769210925,0.171618284980019,0.412828616467141,0.739218502181114
"AT1G01050.1",2101.34846146807,0.0565505660049037,0.0658957162815637,0.256678264699784,0.604983339752563
"AT1G01060.3",0.947725514420288,-0.0116885352784605,0.276098745591769,0.570760861291483,NA
"AT1G01060.5",5.55364448035032,-0.108363070882963,0.323177234895805,0.0746905652989107,NA
"AT1G01070.1",8.91388981748674,0.0213575277363262,0.21267741783307,0.654418431200145,NA
"AT1G01070.2",10.565623502224,0.0426914997176923,0.204944048498583,0.440618569720332,NA
"AT1G01080.2",17.8882065481667,0.0205919757593195,0.166113021066594,0.725757151501834,0.909128737130957
"AT1G01090.1",8961.29126258047,-0.0112221882688712,0.0657904436679213,0.820221344990049,0.944851505960564
"AT1G01100.1",7.77022236166324,-0.257127697528652,0.432827230641567,0.0141666715221293,NA
"AT1G01100.2",16.675036785084,0.0160328743013095,0.182124308871871,0.772300912290719,NA
"AT1G01100.4",3.61224844209376,-0.0260153713507512,0.22683924434039,0.558683286398854,NA
"AT1G01110.1",1.73383833907116,-0.0377220648988396,0.285525828561848,0.236809328439483,NA
"AT1G01110.2",71.9144152246936,0.144283350955532,0.223875062798212,0.0817681378181747,0.336185656862597
"AT1G01120.1",1816.13132156451,0.122258367770989,0.173255794970471,0.111925705151692,0.398867312462751
"AT1G01130.1",56.426559781426,0.0508413326468242,0.141665921103542,0.423887251890249,0.747824474214494
