"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AT1G01010.1",528.128492060818,1.79714009221462,0.25909754101997,7.52291309593253e-13,9.38179360681034e-12
"AT1G01020.1",0.724118743593588,0.155098895840332,0.843717861555779,0.439312404253127,NA
"AT1G01020.2",10.3977601948828,-0.169266358801433,0.517432362705078,0.675822634673146,0.772073346444092
"AT1G01030.1",90.5322119381301,-0.484716133156652,0.214860549003539,0.0188771067179608,0.0432020478404921
"AT1G01040.1",162.893461062786,0.123287504206089,0.203705072594456,0.534315030804821,0.652508615446308
"AT1G01040.2",18.9816731144627,0.471216481497838,0.468205415118959,0.228143757110758,0.342687803996891
"AT1G01046.1",51.8597597360728,-0.899952029643977,0.408664670870868,0.0123413190059034,0.0297561373935151
"AT1G01050.1",2246.73593963058,-0.31296528332672,0.0972367966349499,0.00117356173440847,0.00368023589180067
"AT1G01060.5",2.40566826713083,2.2856632838656,4.7726546940765,0.0124533265545051,0.0299981262786859
"AT1G01070.1",10.0061997155491,0.745231112208419,0.762202040926129,0.12361661288834,0.210452096674248
"AT1G01070.2",12.9631611131883,1.83294296345254,0.895160246470564,0.00499315782713738,0.0134120841760003
"AT1G01080.2",17.3945307506301,-0.168780513454469,0.447639544353447,0.654218395786649,0.754113142781094
"AT1G01090.1",9277.93225164815,-1.211752482191,0.106019418963162,1.00636829926643e-30,6.37078113773943e-29
"AT1G01100.1",7.58758133485884,1.14499272941159,0.699629959824903,0.0280294184640023,0.060544765822017
"AT1G01100.2",18.2244623185939,-0.35460796299483,0.489742098182116,0.370776432010224,0.498804843401312
"AT1G01100.4",3.89015896681727,0.315476620369129,0.74681666462887,0.438504650173957,0.564452053943445
"AT1G01110.1",1.32671425586417,-0.0251585035951505,0.766963346944876,0.924223771218132,0.952086100733084
"AT1G01110.2",75.3836394271411,-1.24675171909318,0.333152160607297,5.29377182593351e-05,0.000219777684652235
"AT1G01120.1",2204.6803001616,-0.0273673882809235,0.204397402461177,0.890539444296104,0.929238165490407
"AT1G01130.1",64.6544175341083,-0.789706075256251,0.29471848650928,0.004108492081217,0.0112792006896703
"AT1G01140.1",1.24063615985325,0.449133074859039,0.910669836948241,0.189036657625992,0.296802527954521
"AT1G01140.2",5.68941751469358,0.570926292421669,0.674236496430571,0.219543185121168,0.332717496891176
"AT1G01140.3",3.16605411747431,0.482368836198294,0.850743136838014,0.238927307953784,0.355281473390042
"AT1G01150.1",3.87145356467601,-0.159905040278077,0.739876149419857,0.656832086790203,0.756313850382087
"AT1G01160.1",34.5225445669507,-0.52028210581404,0.350553320010673,0.100329898176524,0.177712073870352
"AT1G01160.2",73.3504574338486,-0.581250753334287,0.281612706258022,0.0275420226853956,0.0596720664723525
"AT1G01170.1",1621.69399724367,-0.622589319692648,0.116481191887433,6.25897390033163e-08,4.21821769662685e-07
"AT1G01180.1",975.50047505725,-0.299600616541778,0.127811221255826,0.0175634772206397,0.0405372900074676
"AT1G01190.1",16.2178866866896,-0.116579886399631,0.612090259785155,0.781922350423045,0.852570010945821
