"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT1G01470",2015.06201787626,0.806565272683485,0.116165990840473,0.000000000000297508861233913,0.000000000140286870720299,"salinity_stress","LEA14","AtLEA14 responses to salt stress by stabilizing AtPP2-B11, an E3 ligase, under normal or salt stress conditions.","Jia et al., 2014 _ Overexpression of Late Embryogenesis Abundant 14 enhances Arabidopsis salt stress tolerance. Biochemical and biophysical research communications, 454(4), 505-511."
"AT2G42540",228.80253501647,1.49732060760001,0.440723798048731,0.0000281705045919107,0.000863170367885286,"cold_freezing_stress","COR15A","The mature polypeptide encoded by this gene, COR15am, increases the lamellar-to-hexagonal II phase transition temperature of dioleoylphosphatidylethanolamine and promotes formation of the lamellar phase in a lipid mixture composed of the major lipid species that comprise the chloroplast envelope.","Steponkus et al., 1998 _  Mode of action of the COR15a gene on the freezing tolerance of Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 95(24), 14570-14575."
"AT3G46460",1005.50169228928,0.279642486962385,0.0935437515143464,0.000871625766825056,0.0125350520836073,"cold_freezing_stress","UBC13","Loss of UBC13 failed to activate the expression of numerous cold-responsive genes and resulted in hypersensitivity to low-temperature stress, indicating that UBC13 is involved in plant response to low-temperature stress.","Wang et al., 2019 _ Arabidopsis UBC 13 differentially regulates two programmed cell death pathways in responses to pathogen and low‐temperature stress. New Phytologist, 221(2), 919-934."
"AT3G51860",1964.84259356004,-1.92576441851465,0.465966517559751,0.00000145563083868393,0.0000748261387097063,"heavy_metal","CAX3","The expression of Δ90-AtCAX3 (deletion of autoinhibitory domain) increased Cd and Ca tolerance in yeast, while AtCAX3 expression did not. Interestingly, less accumulation of ROS (H2O2 and O2−) was observed in CAX3-expressing transgenic plants and was accompanied with higher antioxidant enzyme activities (SOD, CAT, GR).","Modareszadeh et al., 2021 _ CAX3 (cation/proton exchanger) mediates a Cd tolerance by decreasing ROS through Ca elevation in Arabidopsis. Plant Molecular Biology, 105, 115-132."
"AT4G33730",11.41302919771,0.0830349306554038,0.220613113992523,0.000444670962151288,0.00741219034123016,"salinity_stress","CAPE1","The salt-induced AtCAPE1 negatively regulated salt tolerance by suppressing several salt-tolerance genes functioning in the production of osmolytes, detoxification, stomatal closure control, and cell membrane protection.","Chien et al., 2015 _ A salt-regulated peptide derived from the CAP superfamily protein negatively regulates salt-stress tolerance in Arabidopsis. Journal of experimental botany, 66(17), 5301-5313."
"AT5G06370",1390.60768498558,-0.236124521957976,0.0964592723005097,0.00554185599450768,0.0492698727285454,"heavy_metal","PSE1","PSE1 regulates Pb tolerance mainly through glutathione-dependent PC synthesis by activating the expression of the genes involved in PC synthesis and at least partially through activating the expression of the ABC transporter PDR12/ABCG40.","Fan et al., 2016 _ The PSE1 gene modulates lead tolerance in Arabidopsis. Journal of experimental botany, 67(15), 4685-4695."
"AT5G24270",18.7439965237442,-1.04631846739315,0.528721264650707,0.00167969790061771,0.0205315017563043,"salinity_stress","CBL4","In Arabidopsis, the salt overly sensitive (SOS) pathway, consisting of calcineurin B-like protein 4 (CBL4/SOS3), CBL-interacting protein kinase 24 (CIPK24/SOS2) and SOS1, has been well defined as a crucial mechanism to control cellular ion homoeostasis by extruding Na+ to the extracellular space, thus conferring salt tolerance in plants. CBL10 also plays a critical role in salt tolerance possibly by the activation of Na+ compartmentation into the vacuole.","Yang et al., 2019 _ Calcineurin B-Like proteins CBL4 and CBL10 mediate two independent salt tolerance pathways in Arabidopsis. International journal of molecular sciences, 20(10), 2421."
"AT5G59820",352.225782013143,-2.20760077913726,0.787025388415002,0.000150256275134014,0.00326577394250438,"heavy_metal","ZAT12","Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway. The mRNA is cell-to-cell mobile.","Le et al., 2016 _ Zinc finger of Arabidopsis thaliana12 (ZAT12) interacts with FER-like iron deficiency-induced transcription factor (FIT) linking iron deficiency and oxidative stress responses. Plant Physiology, 170(1), 540-557."
