"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT3G14320",2.30417473919602,-2.63766269228827,2.44015522695841,0.00921569131027488,0.0218188397261522,"drought_stress","ATL61","RING-H2 ubiquitin ligase. Mutants are defective in ABA mediated drought response.","Yang et al., 2020 _ E3 ubiquitin ligase ATL61 acts as a positive regulator in abscisic acid mediated drought response in Arabidopsis. Biochemical and biophysical research communications, 528(2), 292-298."
"AT3G25910",4557.59202995771,-1.16863115419473,0.0889444710679288,0.0000000000000000000000000000000000000006969019120872,0.0000000000000000000000000000000000000378461294632855,"salinity_stress","ZFP1","Overexpression of AtZFP1 also enhanced oxidative and osmotic stress tolerance which was determined by measuring the expression of a set of antioxidant genes, osmotic stress genes and ion transport protein genes such as SOS1, AtP5CS1 and AtGSTU5.","Han et al., 2014 _ The CCCH zinc finger protein gene AtZFP1 improves salt resistance in Arabidopsis thaliana. Plant molecular biology, 86, 237-253."
"AT3G48590",1269.04849450041,-0.849693985597027,0.0950984362637812,0.000000000000000000214625292700474,0.00000000000000000339274560632096,"cold_freezing_stress","HAP5A","Notably, the modulated freezing resistance of AtHAP5A overexpressing plants and knockout mutant could be reversed by the xth21 mutant and AtXTH21 overexpressing plants, respectively, indicating that AtHAP5A might act upstream of AtXTH21 in freezing stress. Additionally, modulation of AtHAP5A and AtXTH21 expression had the same effects on abscisic acid (ABA) sensitivity and reactive oxygen species (ROS) metabolism.","Shi et al., 2014 _ At HAP 5A modulates freezing stress resistance in Arabidopsis through binding to CCAAT motif of AtXTH21. New Phytologist, 203(2), 554-567."
"AT3G51860",1964.84259356004,1.6598595696055,0.446229033596508,0.0000343762955619894,0.000130605873256723,"heavy_metal","CAX3","The expression of Δ90-AtCAX3 (deletion of autoinhibitory domain) increased Cd and Ca tolerance in yeast, while AtCAX3 expression did not. Interestingly, less accumulation of ROS (H2O2 and O2−) was observed in CAX3-expressing transgenic plants and was accompanied with higher antioxidant enzyme activities (SOD, CAT, GR).","Modareszadeh et al., 2021 _ CAX3 (cation/proton exchanger) mediates a Cd tolerance by decreasing ROS through Ca elevation in Arabidopsis. Plant Molecular Biology, 105, 115-132."
"AT4G16830",213.984075597213,-0.522537537086928,0.165648791628657,0.00122662464344112,0.00354736292937167,"salinity_stress","RGGA","AtRGGA-overexpressing plants showed higher tolerance to ABA and salt stress on plates and in soil, accumulating lower proline levels when exposed to drought stress. Finally, a global analysis of gene expression revealed extensive alterations in the transcriptome under salt stress, including several genes such as ASCORBATE PEROXIDASE2, GLUTATHIONE S-TRANSFERASE TAU9, and several SMALL AUXIN UPREGULATED RNA-like genes showing opposite expression behavior in transgenic and knockout plants.","Ambrosone et al., 2015 _ The Arabidopsis RNA-binding protein AtRGGA regulates tolerance to salt and drought stress. Plant physiology, 168(1), 292-306."
"AT4G23450",38.8138065641905,0.986610740795861,0.327700332776516,0.00108282816122071,0.00316187763846088,"drought_stress","AIRP1","AtAIRP1 gene encodes a C3H2C3-type RING E3 Ub ligase. It has been shown to be a positive regulator in the Arabidopsis ABA-dependent drought response.","Oh et al., 2020 _ AtKPNB1, an Arabidopsis importin-β protein, is downstream of the RING E3 ubiquitin ligase AtAIRP1 in the ABA-mediated drought stress response"
"AT4G30120",20.957810656828,1.74272595266552,0.463944573259062,0.0000339000956574295,0.000128984643628991,"heavy_metal","HMA3","HMA3 (Ws) overexpressing lines in Col-0, hma3 knock-out line in Ws. The results indicate that the Col-0 and hma3 mutant in Ws were less tolerant to Cd and Zn because HMA3 has lost the function of sequestration of Cd and Zn into the root vacuoles, thereby readily translocating Cd and Zn to the aerial parts. In addition, the root-to-shoot metal translocation rates of the Ws- and HMA3-overexpressing lines were lower than those of the Col-0 and hma3 mutants.","Park and Ahn. 2017 _ HMA3 is a key factor for differences in Cd-and Zn-related phenotype between Arabidopsis Ws and Col-0 ecotypes. Plant biotechnology reports, 11, 209-218."
"AT4G33730",11.41302919771,5.40926857240347,2.55896294156551,0.000231055070898982,0.000768718893825626,"salinity_stress","CAPE1","The salt-induced AtCAPE1 negatively regulated salt tolerance by suppressing several salt-tolerance genes functioning in the production of osmolytes, detoxification, stomatal closure control, and cell membrane protection.","Chien et al., 2015 _ A salt-regulated peptide derived from the CAP superfamily protein negatively regulates salt-stress tolerance in Arabidopsis. Journal of experimental botany, 66(17), 5301-5313."
"AT4G34220",2233.99113203595,-0.79026447580798,0.152010828197471,0.00000010876986779222,0.000000586655109401989,"drought_stress","RDK1","Encodes a receptor like kinase involved in ABA-mediated seedling development and drought tolerance.RDK1 is an atypical or pseudokinase and has no phosphorylation activity. Its expression is upregulated in response to ABA.interacts with ABI1 and other PP2C phosphatases.","Kumar et al., 2017 _ Arabidopsis thaliana RECEPTOR DEAD KINASE1 functions as a positive regulator in plant responses to ABA. Molecular Plant, 10(2), 223-243."
"AT4G34890",5469.36063336228,0.413082564013525,0.0926269100187385,0.00000702625394052374,0.0000297471758108872,"drought_stress","XDH","Encodes a xanthine dehydrogenase, involved in purine catabolism. Ubiquitously expressed, but the transcript level is altered during aging, senescence, salt and cold stress, ABA treatment, and dark treatment. RNAi lines that suppress both XDH1 and XDH2 produce small plants with reduced fertility and accelerated leaf senescence. Role in drought tolerance.","Watanabe et al., 2010 _ RNA interference-mediated suppression of xanthine dehydrogenase reveals the role of purine metabolism in drought tolerance in Arabidopsis. FEBS letters, 584(6), 1181-1186."
"AT5G05860",692.138852028985,-0.467142799599271,0.19698170654594,0.0141841888664488,0.0318960706678503,"drought_stress","UGT76C2","Encodes a cytokinin N-glucosyltransferase that is involved in cytokinin homeostasis and cytokinin response in planta through cytokinin N-glucosylation. Expression is induced by ABA, mannitol and drought stress. Analysis of overexpressors and loss of function mutants indicate a role in response to osmotic and drought stress.","Li et al., 2015 _ AtUGT76C2, an Arabidopsis cytokinin glycosyltransferase is involved in drought stress adaptation. Plant Science, 236, 157-167"
"AT5G06370",1390.60768498558,-0.70960647613115,0.0974423735235014,0.000000000000205929230441574,0.0000000000020187879841747,"heavy_metal","PSE1","PSE1 regulates Pb tolerance mainly through glutathione-dependent PC synthesis by activating the expression of the genes involved in PC synthesis and at least partially through activating the expression of the ABC transporter PDR12/ABCG40.","Fan et al., 2016 _ The PSE1 gene modulates lead tolerance in Arabidopsis. Journal of experimental botany, 67(15), 4685-4695."
"AT5G24270",12.8655218919027,-1.41671241452111,0.696288045472756,0.0071061716752464,0.0173296451547056,"salinity_stress","CBL4","In Arabidopsis, the salt overly sensitive (SOS) pathway, consisting of calcineurin B-like protein 4 (CBL4/SOS3), CBL-interacting protein kinase 24 (CIPK24/SOS2) and SOS1, has been well defined as a crucial mechanism to control cellular ion homoeostasis by extruding Na+ to the extracellular space, thus conferring salt tolerance in plants. CBL10 also plays a critical role in salt tolerance possibly by the activation of Na+ compartmentation into the vacuole.","Yang et al., 2019 _ Calcineurin B-Like proteins CBL4 and CBL10 mediate two independent salt tolerance pathways in Arabidopsis. International journal of molecular sciences, 20(10), 2421."
"AT5G24270",18.7439965237442,-1.18047974744373,0.432114521454882,0.00182586137901827,0.00508490689816978,"salinity_stress","CBL4","In Arabidopsis, the salt overly sensitive (SOS) pathway, consisting of calcineurin B-like protein 4 (CBL4/SOS3), CBL-interacting protein kinase 24 (CIPK24/SOS2) and SOS1, has been well defined as a crucial mechanism to control cellular ion homoeostasis by extruding Na+ to the extracellular space, thus conferring salt tolerance in plants. CBL10 also plays a critical role in salt tolerance possibly by the activation of Na+ compartmentation into the vacuole.","Yang et al., 2019 _ Calcineurin B-Like proteins CBL4 and CBL10 mediate two independent salt tolerance pathways in Arabidopsis. International journal of molecular sciences, 20(10), 2421."
"AT5G28300",3941.75974144554,0.472162787491019,0.130589673532342,0.000285324263647169,0.0009348350402829,"cold_freezing_stress","GT2L transcription factor","In addition, the expression of AtGT2L was responsive to cold, NaCl and abscisic acid treatments. Furthermore, both basal and chilling/NaCl-induced expressions of the cold- and salt-inducible marker genes RD29A and ERD10 were higher in plants overexpressing AtGT2L than those in wild-type plants. Thus, our data indicate that AtGT2L is a Ca2+/CaM-binding nuclear transcription factor involved in plant responses to cold and salt stresses.","X et al., 2012 _ Plant-specific trihelix transcription factor AtGT2L interacts with calcium/calmodulin and responds to cold and salt stresses. Plant Science, 185, 274-280."
"AT5G44070",2206.18291122936,0.472509969515029,0.163240074912517,0.00314820399091976,0.00834186382690583,"heavy_metal","PCS1","These results strongly suggest that the increase in the expression of AtMT1B, AtMT1C, and AtMT3 in the roots significantly reduced Ni toxicity, contributing to its local accumulation and buffering its translocation to the shoots. The overall reduction in the expression of MTs and PCS1 in leaves may be linked to the active participation of MT1A in mature leaves, while young leaves depended on the increased production of MT1B and MT1C to deal with the high amount of Ni present therein.","Afonseca et al., 2024 _ Nickel-Induced Differential Expression of Metallothioneins and Phytochelatin Synthase 1 in Arabidopsis thaliana: Organ-Specific Responses. Agronomy, 14(12), 3026."
"AT5G57630",4623.33080437083,-0.464058121909436,0.153082395470826,0.00200271301619132,0.00553250531931529,"salinity_stress","CIPK6","The Arabidopsis mutant was more sensitive to salt stress compared to wild-type, while overexpression of a constitutively active mutant of CaCIPK6 promoted salt tolerance in transgenic tobacco.","Tripathi et al., 2009 _ CIPK6, a CBL‐interacting protein kinase is required for development and salt tolerance in plants. The Plant Journal, 58(5), 778-790."
"AT5G57710",8483.32501435954,0.518258128249673,0.079053705197975,0.0000000000411321907472046,0.000000000323339208747703,"drought_stress","SMAX1","SMAX1 (SUPPRESSOR OF MAX2 1) is a member of an eight-gene family in Arabidopsis that has weak similarity to AtHSP101, a ClpB chaperonin required for thermotolerance. SMAX1 is an important component of KAR/SL signaling during seed germination and seedling growth, but is not necessary for all MAX2-dependent responses. The mRNA is cell-to-cell mobile.","Yang et al., 2020 _ The SUPPRESSOR of MAX2 1 (SMAX1)-Like SMXL6, SMXL7 and SMXL8 act as negative regulators in response to drought stress in Arabidopsis. Plant and Cell Physiology, 61(8), 1477-1492."
