"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT3G25910",4386.74768348394,-1.045769930703,0.125738041903288,0.0000000000000000320074168116902,0.000000000000000843221977661757,"salinity_stress","ZFP1","Overexpression of AtZFP1 also enhanced oxidative and osmotic stress tolerance which was determined by measuring the expression of a set of antioxidant genes, osmotic stress genes and ion transport protein genes such as SOS1, AtP5CS1 and AtGSTU5.","Han et al., 2014 _ The CCCH zinc finger protein gene AtZFP1 improves salt resistance in Arabidopsis thaliana. Plant molecular biology, 86, 237-253."
"AT3G48590",1262.61378041814,-0.737917801616095,0.104512630063561,0.000000000000963629646485442,0.0000000000145960716294518,"cold_freezing_stress","HAP5A","Notably, the modulated freezing resistance of AtHAP5A overexpressing plants and knockout mutant could be reversed by the xth21 mutant and AtXTH21 overexpressing plants, respectively, indicating that AtHAP5A might act upstream of AtXTH21 in freezing stress. Additionally, modulation of AtHAP5A and AtXTH21 expression had the same effects on abscisic acid (ABA) sensitivity and reactive oxygen species (ROS) metabolism.","Shi et al., 2014 _ At HAP 5A modulates freezing stress resistance in Arabidopsis through binding to CCAAT motif of AtXTH21. New Phytologist, 203(2), 554-567."
"AT3G50260",269.873862855115,1.04201041948854,0.168093903668742,0.000000000216298425557761,0.00000000237854414617828,"cold_freezing_stress","DEAR1","In addition, transient expression experiments revealed that the DEAR1 protein represses DRE/CRT (dehydration-responsive element/C-repeat)-dependent transcription, which is regulated by low temperature. Furthermore, the induction of DREB1/CBF family genes by cold treatment was suppressed in DEAR1ox, leading to a reduction in freezing tolerance. These results suggest that DEAR1 has an upstream regulatory role in mediating crosstalk between signaling pathways for biotic and abiotic stress responses.","Tsutsui et al., 2009 _ DEAR1, a transcriptional repressor of DREB protein that mediates plant defense and freezing stress responses in Arabidopsis. Journal of plant research, 122, 633-643."
"AT3G51860",1536.22249436495,0.991895916459226,0.417351038820207,0.00591611615128822,0.0168206502579939,"heavy_metal","CAX3","The expression of Δ90-AtCAX3 (deletion of autoinhibitory domain) increased Cd and Ca tolerance in yeast, while AtCAX3 expression did not. Interestingly, less accumulation of ROS (H2O2 and O2−) was observed in CAX3-expressing transgenic plants and was accompanied with higher antioxidant enzyme activities (SOD, CAT, GR).","Modareszadeh et al., 2021 _ CAX3 (cation/proton exchanger) mediates a Cd tolerance by decreasing ROS through Ca elevation in Arabidopsis. Plant Molecular Biology, 105, 115-132."
"AT3G51960",28.937518565886,0.948887989147508,0.437524488755011,0.0111535000728759,0.0291007523420403,"salinity_stress","BZIP24","Transcriptional repression of AtbZIP24 using RNA interference improved salt tolerance in A. thaliana. Under non-stress growth conditions, transgenic A. thaliana lines with decreased AtbZIP24 expression activated the expression of stress-inducible genes involved in cytoplasmic ion homeostasis and osmotic adjustment: the Na+ transporter AtHKT1, the Na+/H+ antiporter AtSOS1, the aquaporin AtPIP2.1, and a glutamine synthetase.","Yang et al., 2009 _  The Arabidopsis basic leucine zipper transcription factor AtbZIP24 regulates complex transcriptional networks involved in abiotic stress resistance. Gene, 436(1-2), 45-55."
"AT4G23450",45.4727810255075,0.790090261557253,0.354573963441121,0.0129159188020818,0.0330235832029015,"drought_stress","AIRP1","AtAIRP1 gene encodes a C3H2C3-type RING E3 Ub ligase. It has been shown to be a positive regulator in the Arabidopsis ABA-dependent drought response.","Oh et al., 2020 _ AtKPNB1, an Arabidopsis importin-β protein, is downstream of the RING E3 ubiquitin ligase AtAIRP1 in the ABA-mediated drought stress response"
"AT4G33730",23.0408352154182,7.12989554861737,2.45213995334723,0.000000712394183113814,0.00000461060942675896,"salinity_stress","CAPE1","The salt-induced AtCAPE1 negatively regulated salt tolerance by suppressing several salt-tolerance genes functioning in the production of osmolytes, detoxification, stomatal closure control, and cell membrane protection.","Chien et al., 2015 _ A salt-regulated peptide derived from the CAP superfamily protein negatively regulates salt-stress tolerance in Arabidopsis. Journal of experimental botany, 66(17), 5301-5313."
"AT4G34220",2231.72255582443,-0.643316630751072,0.219966695571098,0.00216367414050398,0.00695968342448003,"drought_stress","RDK1","Encodes a receptor like kinase involved in ABA-mediated seedling development and drought tolerance.RDK1 is an atypical or pseudokinase and has no phosphorylation activity. Its expression is upregulated in response to ABA.interacts with ABI1 and other PP2C phosphatases.","Kumar et al., 2017 _ Arabidopsis thaliana RECEPTOR DEAD KINASE1 functions as a positive regulator in plant responses to ABA. Molecular Plant, 10(2), 223-243."
"AT4G34890",5652.07078991279,0.360422050875363,0.130175439091353,0.00498769823843277,0.0144895755004195,"drought_stress","XDH","Encodes a xanthine dehydrogenase, involved in purine catabolism. Ubiquitously expressed, but the transcript level is altered during aging, senescence, salt and cold stress, ABA treatment, and dark treatment. RNAi lines that suppress both XDH1 and XDH2 produce small plants with reduced fertility and accelerated leaf senescence. Role in drought tolerance.","Watanabe et al., 2010 _ RNA interference-mediated suppression of xanthine dehydrogenase reveals the role of purine metabolism in drought tolerance in Arabidopsis. FEBS letters, 584(6), 1181-1186."
"AT5G05860",516.311751869264,-1.03472581579689,0.257446573229581,0.0000211549842469981,0.000105795452081504,"drought_stress","UGT76C2","Encodes a cytokinin N-glucosyltransferase that is involved in cytokinin homeostasis and cytokinin response in planta through cytokinin N-glucosylation. Expression is induced by ABA, mannitol and drought stress. Analysis of overexpressors and loss of function mutants indicate a role in response to osmotic and drought stress.","Li et al., 2015 _ AtUGT76C2, an Arabidopsis cytokinin glycosyltransferase is involved in drought stress adaptation. Plant Science, 236, 157-167"
"AT5G06370",1482.30002737799,-0.571812766228993,0.10219402605444,0.0000000156787932440721,0.000000134475402108361,"heavy_metal","PSE1","PSE1 regulates Pb tolerance mainly through glutathione-dependent PC synthesis by activating the expression of the genes involved in PC synthesis and at least partially through activating the expression of the ABC transporter PDR12/ABCG40.","Fan et al., 2016 _ The PSE1 gene modulates lead tolerance in Arabidopsis. Journal of experimental botany, 67(15), 4685-4695."
"AT5G28300",4282.34355010535,0.340882502991585,0.13713384762882,0.0116584032851155,0.0302496234280968,"cold_freezing_stress","GT2L transcription factor","In addition, the expression of AtGT2L was responsive to cold, NaCl and abscisic acid treatments. Furthermore, both basal and chilling/NaCl-induced expressions of the cold- and salt-inducible marker genes RD29A and ERD10 were higher in plants overexpressing AtGT2L than those in wild-type plants. Thus, our data indicate that AtGT2L is a Ca2+/CaM-binding nuclear transcription factor involved in plant responses to cold and salt stresses.","X et al., 2012 _ Plant-specific trihelix transcription factor AtGT2L interacts with calcium/calmodulin and responds to cold and salt stresses. Plant Science, 185, 274-280."
"AT5G44070",2606.83132042046,0.723604466277427,0.216056609046346,0.00047891643803421,0.00178933904088623,"heavy_metal","PCS1","These results strongly suggest that the increase in the expression of AtMT1B, AtMT1C, and AtMT3 in the roots significantly reduced Ni toxicity, contributing to its local accumulation and buffering its translocation to the shoots. The overall reduction in the expression of MTs and PCS1 in leaves may be linked to the active participation of MT1A in mature leaves, while young leaves depended on the increased production of MT1B and MT1C to deal with the high amount of Ni present therein.","Afonseca et al., 2024 _ Nickel-Induced Differential Expression of Metallothioneins and Phytochelatin Synthase 1 in Arabidopsis thaliana: Organ-Specific Responses. Agronomy, 14(12), 3026."
"AT5G57710",9829.55967133075,0.294577228334208,0.110884293378411,0.00726018038066799,0.0200814329047677,"drought_stress","SMAX1","SMAX1 (SUPPRESSOR OF MAX2 1) is a member of an eight-gene family in Arabidopsis that has weak similarity to AtHSP101, a ClpB chaperonin required for thermotolerance. SMAX1 is an important component of KAR/SL signaling during seed germination and seedling growth, but is not necessary for all MAX2-dependent responses. The mRNA is cell-to-cell mobile.","Yang et al., 2020 _ The SUPPRESSOR of MAX2 1 (SMAX1)-Like SMXL6, SMXL7 and SMXL8 act as negative regulators in response to drought stress in Arabidopsis. Plant and Cell Physiology, 61(8), 1477-1492."
"AT5G59820",160.730473316404,1.86660474345794,0.261771983482923,0.000000000000181727582208955,0.00000000000301883375603722,"heavy_metal","ZAT12","Encodes a zinc finger protein involved in high light and cold acclimation. Overexpression of this putative transcription factor increases the expression level of 9 cold-responsive genes and represses the expression level of 15 cold-responsive genes, including CBF genes. Also, lines overexpressing this gene exhibits a small but reproducible increase in freeze tolerance. Because of the repression of the CBF genes by the overexpression of this gene, the authors speculate that this gene may be involved in negative regulatory circuit of the CBF pathway. The mRNA is cell-to-cell mobile.","Le et al., 2016 _ Zinc finger of Arabidopsis thaliana12 (ZAT12) interacts with FER-like iron deficiency-induced transcription factor (FIT) linking iron deficiency and oxidative stress responses. Plant Physiology, 170(1), 540-557."
