"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT1G12000",3140.41188634777,0.412372045543324,0.151029069113244,0.000222943762167064,0.00573852693945324,NA,"Glycolysis","PPi-dependent phosphofructokinase","PFP",NA,"2.7.1.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2014;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c80",NA,NA
"AT1G13560",508.843558701708,-0.33767088989972,0.130886737046968,0.000779667827207898,0.0142386395955252,NA,"Eukaryotic Phospholipid Synthesis","Diacylglycerol Cholinephosphotransferase","DAG-CPT","Diacylglycerol Cholinephosphotransferase","2.7.8.2","38",46,43,442,3.51666194,2.39541039,"targetP, RC5","Heterologous Protein Expression",NA,NA,"Goode et al 1999;http://www.ingentaconnect.com/content/els/09819428/1999/00000037/00000006/art80049",NA,NA
"AT1G14290",2068.13510133286,-0.619558070967466,0.171323110861837,0.00000221025309050886,0.000169592803674786,"SBH2","Sphingolipid Synthesis","Sphingobase C4-Hydroxylase","SBH","Sphingobase C4-Hydroxylase","1.14.*","54",65,48,422,3.11475772,3.99235066,"targetP, RC1","Heterologous expression",NA,NA,"Chen et al 2008;http://dx.doi.org/10.1105/tpc.107.057851",NA,NA
"AT1G20950",1884.68177059186,0.569698160397704,0.147887586448011,0.00000109531584542397,0.000100470335275708,NA,"Glycolysis","PPi-dependent phosphofructokinase","PFP",NA,"2.7.1.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2015;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c81",NA,NA
"AT1G32060",29775.0158262816,-0.451213604983576,0.134124343879167,0.0000191057354215197,0.000905055729592179,NA,"Phosphoribulokinase",NA,"PRK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G32200",75.9461045008277,-0.409345925848437,0.275126554838435,0.00334456037713974,0.0388344756305836,"ATS1;ACT1","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (plastidial)","2.3.1.15","20",26,82,439,3.41618589,5.32313421,"targetP, RC2","Heterologous protein expression, mutant characterization","act1",NA,"Kunst et al 1988;http://www.ncbi.nlm.nih.gov/pubmed/16593939?ordinalpos=13&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Nishida et al 1993;http://www.ncbi.nlm.nih.gov/pubmed/7678766?dopt=Abstract",NA
"AT1G42970",31485.8218293937,-0.394754148341564,0.139448644257855,0.000202173478524758,0.00537531066749621,NA,"Glycolysis","NADP-Dependent Glyceraldehyde-3-Phosphate Dehydrogenase","GapB",NA,"1.2.1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muñoz-Bertomeu  et al 2011;http://www.plantphysiol.org/cgi/content/full/151/2/543",NA,NA
"AT1G43800",1445.75902534178,1.19231211621564,1.89076674348802,0.0000592894197010684,0.00215056264132326,"DES6","Plastidial Fatty Acid Synthesis","Stearoyl-ACP Desaturase","SAD","Stearoyl-ACP Desaturase","1.14.19.2","7",13,94,424,3.11475772,0.39923507,"targetP, RC5","sequence similarity",NA,NA,NA,NA,NA
"AT1G43800",1445.75902534178,1.19231211621564,1.89076674348802,0.0000592894197010684,0.00215056264132326,"DES6","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Stearoyl-ACP Desaturase","SAD","Stearoyl-ACP Desaturase","1.14.19.2","7",13,94,423,3.11475772,0.39923507,"targetP, RC5","sequence similarity",NA,NA,NA,NA,NA
"AT1G45201",693.77150082294,0.487033861388006,0.166893631731368,0.0000614436662787171,0.00220628680694753,NA,"TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,95,631,NA,NA,NA,"Sequence homology ONLY (to castor bean acid lipase BLAST score>100)",NA,NA,NA,NA,NA
"AT1G48600",166.120675070862,-0.365015116121184,0.224617998433612,0.00435582731976024,0.0465082514882337,"CPUORF31","Eukaryotic Phospholipid Synthesis","Phosphoethanolamine N-Methyltransferase","PEAMT","Phosphoethanolamine N-Methyltransferase","2.1.1.103","60",72,99,440,3.41618589,12.2432087,"targetP, RC2","homologus to At3g18000",NA,"highest expression in leaves","Cruz-Ramírez et al 2004;http://www.ncbi.nlm.nih.gov/pubmed/15295103?dopt=Abstract",NA,NA
"AT1G50460",1458.74019177393,-0.281089659720258,0.120396199523652,0.00270571397033762,0.0338928044204924,NA,"Glycolysis","hexokinase","hxk-like",NA,"2.7.1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karve et al 2009;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2755033/?tool=pubmed",NA,NA
"AT1G52570",167.51941353833,0.420415414300277,0.251334170941524,0.00232834182920553,0.0305103494242647,"PLDALPHA2","Phospholipases",NA,NA,"Phospholipase D alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G55260",350.385118842172,0.555710976258778,0.175542710533153,0.0000161796320341629,0.000796353596218066,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,124,589,15.5737886,6.12160434,"targetP, RC3","Sequence similarity",NA,NA,NA,NA,NA
"AT1G62660",1531.6465431573,0.395822593171557,0.200430004588442,0.00170187398160751,0.0246545706739695,NA,"Sucrose Degradation","vacuolar invertase","BFRUCT3",NA,"3.2.1.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sergeeva et al 2007;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1413815/?tool=pubmed",NA,NA
"AT1G64670",721.715180017987,0.546606957684631,0.16746091788023,0.0000121665528379055,0.000632786175950859,"BODYGUARD","Aliphatic Suberin Synthesis","Hydrolase-like Protein","Hydrolase ?","Hydrolase-like Protein (cell wall located)",NA,NA,228,146,333,2.00952111,2.79464546,"targetP,RC 1","Mutant characterization","bodyguard (bdg)","Function shown in cutin; proposed to be involved in cutin assembly. Belongs to the &alpha; , &beta;-hydrolase superfamily","Kurdyukov et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16415209?dopt=Abstract",NA,NA
"AT1G64670",721.715180017987,0.546606957684631,0.16746091788023,0.0000121665528379055,0.000632786175950859,"BDG","Cutin Synthesis","Hydrolase-like Protein","Hydrolase ?","Hydrolase-like Protein",NA,NA,228,146,332,2.00952111,2.79464546,"targetP,RC 1","Mutant characterization","bodyguard (bdg)","Proposed to be involved in cutin assembly","Kurdyukov et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16415209?dopt=Abstract",NA,NA
"AT1G65260",7564.80385370153,-0.415095541867722,0.0787088912290909,0.00000000551464451849652,0.00000126460825435522,"VIPP1","Lipid Trafficking","Vesicle-Inducing Protein in Plastids","VIPP1","Vesicle-Inducing Protein in Plastids",NA,NA,241,148,646,NA,NA,NA,"Mutant analysis","hcf155",NA,"Kroll et al 2001;http://www.pnas.org/content/98/7/4238.abstract?ijkey=dff602d93f5a31c641d3fc9c95c4017462e5133a&keytype2=tf_ipsecsha","Westphal et al 2001;http://www.ncbi.nlm.nih.gov/pubmed/11274448?ordinalpos=10&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Aseeva et al 2004;http://www.ncbi.nlm.nih.gov/pubmed/15210715?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=2&log$=relatedarticles&logdbfrom=pubmed"
"AT1G70820",3037.37141624351,-0.380673308296713,0.217746942898106,0.00303710955803756,0.0364792599720503,NA,"Glycolysis","phosphoglucomutase","PGM2",NA,"5.4.2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lohmeier-Vogel et al 2008;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2653042/?tool=pubmed",NA,NA
"AT1G73480",1820.93954341491,-0.435350325076831,0.208540340887322,0.000916234601822367,0.0159702529364118,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,175,457,3.91856617,0.13307836,"targetP, RC3","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT1G76150",2595.65514281388,-0.310370962164605,0.0702466783801566,0.00000162482402016344,0.000135491523664869,"AtECH2","b-Oxidation","Peroxisomal Enoyl-CoA Hydratase 2","ECH2","Peroxisomal Enoyl-CoA Hydratase 2","4.2.1.17",NA,261,187,657,NA,NA,NA,"Heterologous protein expression, RNAi phenotype",NA,"This gene has been characterised in Goepfert et al 2005. The link should come from DCI1 in the beta-ox figure.  Also referred to as enoyl-CoA hydratase/isomerase;   thus apparently can carry out either reaction","Goepfert et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16982622?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
"AT1G76550",1140.32193242565,0.366549719520808,0.131125940390012,0.00030981025545751,0.00735249182923754,NA,"Glycolysis","PPi-dependent phosphofructokinase","PFP",NA,"2.7.1.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2016;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c82",NA,NA
"AT1G77210",374.537798915856,-0.555680617752102,0.245435390369269,0.000230923475318073,0.00588539365284979,NA,"Transporters","monosaccharide transporter","STP14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Büttner 2007;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4N8C72V-2&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=45cf25c09ee282fe6e89d2829c95f906",NA,NA
"AT2G01320",91.6807690070131,-0.527370278987715,0.313498431565899,0.000921884385277363,0.0160376093921527,"AtWBC7;AtABCG7","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,197,658,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT2G20860",5452.35985909001,-0.210481585056052,0.0803183848508839,0.00238413210169897,0.0309599651301707,"LS;LIP1","Mitochondrial Fatty Acid & Lipoic Acid Synthesis","Lipoate Synthase","LS","Lipoate Synthase","2.8.1.8","15",21,218,538,7.73665628,8.9162498,"experimental","Sequence similarity and heterologous protein expression",NA,NA,"Yasuno et al 1998;http://www.ncbi.nlm.nih.gov/pubmed/9808738",NA,NA
"AT2G21170",3643.77390928446,-0.255626539424371,0.0947043497503585,0.00134970706416207,0.0209194228531417,NA,"Glycolysis","triose-phosphate isomerase","TPI",NA,"5.3.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G21330",149.500352718905,-0.487867482547875,0.236936586785502,0.000618850357622765,0.0120080771315648,NA,"Glycolysis","fructose-bisphosphate aldolase","FBA",NA,"4.1.2.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G22480",2195.78870602622,0.313945260611664,0.14214857838461,0.00251189755666514,0.0320977402502532,NA,"Glycolysis","ATP-dependent phosphofructokinase","PFK5",NA,"2.7.1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2013;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c79",NA,NA
