"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT4G26530",19.7317970399061,-3.22343300416712,0.773547558737837,0.0000025721813681981,0.0000119255681616457,NA,"Glycolysis","fructose-bisphosphate aldolase","FBA",NA,"4.1.2.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT4G26770",3.3760099591175,4.0717771947267,2.77522791545109,0.00244648523829102,0.00670206329190243,NA,"Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","CDP-DAG Synthase","CDP-DAGS","CDP-DAG Synthase (plastidial)","2.7.7.41","22",28,527,51,0,0,"targetP, RC3",NA,NA,NA,NA,NA,NA
"AT4G27030",151.734909632524,0.755977934617749,0.355420399937329,0.0168280376891085,0.0376047919358415,"FAD4","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Phosphatidylglycerol Desaturase","FAD4","Phosphatidylglycerol Desaturase","1.14.99.*","25",31,731,765,NA,NA,NA,"Mutant characterization, targetted to Plastid","fad4",NA,"Gao et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/19682287?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
"AT4G29010",10892.0003378092,0.583582212743721,0.102458273974031,0.00000000894392545579271,0.0000000572173859091035,"AIM1","b-Oxidation","Multifunctional Protein","MFP (=ECH +HACDH)","Multifunctional Protein","4.2.1.17 ,1.1.1.35","(208 common no ec number) 87, 88",270,534,492,5.02380278,5.19005585,"targetP, RC4","Characterisation of mutant","aim1",NA,"Richmond et al 1999;http://www.ncbi.nlm.nih.gov/pubmed/10521521?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
"AT4G29130",2008.92485614711,0.825746965229532,0.0947314899671107,0.00000000000000000143360274794531,0.0000000000000000229655070926337,NA,"Glycolysis","hexokinase","HXK1",NA,"2.7.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Claeyssen et al 2007;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6TH7-4MV71MW-3&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=9fa2c98ed4cb002b06f395dccd592799",NA,NA
"AT4G29800",2.89402255659478,1.74521057273524,2.15370038564541,0.0172537497894406,0.0384083081434046,"PLP8","TAG Degradation",NA,NA,"Patatin-like Acyl-Hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT4G30580",2549.9957819737,-0.632239505341188,0.0969365815841673,0.0000000000460741858426269,0.000000000383591242249906,"LPAAT1","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","1-Acylglycerol-3-Phosphate Acyltransferase","LPAAT","1-acylglycerol-3-phosphate acyltransferase","2.3.1.51","21",27,540,388,2.51190139,3.06080217,"targetP, RC4","mutant characterization, complementation of E. coli mutant, heterologous protein expression",NA,NA,"Kim et al 2004;http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=14976237&dopt=Abstract","Yu et al 2004;http://www.ncbi.nlm.nih.gov/pubmed/15169931?dopt=Abstract",NA
"AT4G30950",14347.5913238062,-0.530149443673073,0.0821864160466621,0.0000000000678491201409822,0.000000000554578652822213,"FAD6","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Oleate Desaturase","FAD6","Oleate Desaturase","1.14.99.*","26",32,542,588,14.468552,35.7980776,"targetP, RC2","Mutant characterization and functional complementation","fad6","&delta;10-desaturase, active on PG, MGDG, DGDG, SQDG","Falcone et al 1994;http://www.ncbi.nlm.nih.gov/pubmed/7846158?dopt=Abstract",NA,NA
"AT4G31050",575.870702832803,-0.448064551041154,0.202135577565409,0.0207999095023501,0.0452266605135349,NA,"Plastidial Fatty Acid Synthesis","Lipoyltransferase","LT","Lipoyltransferase","2.3.1.181","16",22,543,100,0.10047606,0.66539178,"experimental","Complementation of E. coli mutant",NA,NA,"Wada et al 2001;http://www.ncbi.nlm.nih.gov/pubmed/11602263?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
"AT4G31780",602.755434789107,-0.846495390635634,0.139107645113638,0.000000000555543249940933,0.00000000409186669911813,"MGD1","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Monogalactosyldiacylglycerol Synthase","MGDGS","Monogalactosyldiacylglycerol Synthase","2.4.1.46","29",35,544,402,2.7128535,1.46386191,"targetP, RC2","Heterologous protein expression and mutant characterization","mgd1","MGDG Synthase Type A, major MGDG synthase","Jarvis et al 2000;http://www.ncbi.nlm.nih.gov/pubmed/10869420?log$=activity","Shimojima et al 1997;http://www.ncbi.nlm.nih.gov/pubmed/8990209","Kobayashi et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17940034?log$=activity"
"AT4G31810",660.67191204605,0.338384408140156,0.150351973867568,0.0217179790211061,0.0470028868345149,NA,"Mitochondrial Fatty Acid & Lipoic Acid Synthesis",NA,NA,"Mitochondrial Enoyl-CoA Hydratase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT4G32840",550.251265085627,0.619598437551771,0.113125159722732,0.0000000294851320937222,0.000000178229148362123,NA,"Glycolysis","ATP-dependent phosphofructokinase","PFK6",NA,"2.7.1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2009;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c79",NA,NA
"AT4G33030",3328.762971319,0.677492962200171,0.148582612027186,0.00000311559579815737,0.0000142920266137736,"SQD1","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","UDP-Sulfoquinovose Synthase","SQS","UDP-Sulfoquinovose Synthase","3.13.1.1","32",38,547,515,6.43046756,3.46003724,"experimental","Heterologous protein expression",NA,NA,"Essigmann et al 1998;http://www.ncbi.nlm.nih.gov/pubmed/9465123?log$=activity","Sanda et al 2001;http://www.ncbi.nlm.nih.gov/pubmed/11073956?dopt=Abstract","Yu et al 2002;http://www.ncbi.nlm.nih.gov/pubmed/11960029?dopt=Abstract"
"AT4G33790",32.2961416532496,3.86400327151433,0.786565744753101,0.0000000956566570429978,0.000000541214181600008,"AlcFAR3 (CER4)","Aliphatic Suberin Synthesis","Alcohol-forming Fatty Acyl-CoA Reductase","AlcFAR","Alcohol-forming Fatty Acyl-CoA Reductase (ER)","1.1.1.*","151",181,551,352,2.10999717,0,"targetP, RC4","Heterologous expression and mutant characterization; Sequence similarity to soybean jojoba and pea FAR enzymes","cer4","Can form aldehyde and/or primary alcohols; functions in wax synthesis","Rowland et al 2006;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=16980563","Jenks et al 1995;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12228482","Metz et al 2000;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=10712526"
"AT4G33790",32.2961416532496,3.86400327151433,0.786565744753101,0.0000000956566570429978,0.000000541214181600008,"AlcFAR3;CER4","Cuticular Wax Synthesis","Alcohol-forming Fatty Acyl-CoA Reductase","AlcFAR","Alcohol-forming Fatty Acyl-CoA Reductase","1.1.1.*","151",181,551,353,2.10999717,0,NA,"Mutant characterization; heterologous expression in yeast and E. coli","cer4",NA,"Rowland et al 2006;http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1630741&tool=pmcentrez","Doan et al 2009;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B7GJ7-4V2PSKP-1&_user=10&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000050221&_version=1&_urlVersion=0&_userid=10&md5=f5a9cfcf397230e3b9808eef1802952d",NA
"AT4G34050",6039.56594269405,1.48747306880903,0.14989501498249,0.00000000000000000000000878524372570496,0.00000000000000000000020113957207481,NA,"Aromatic Suberin Synthesis","Caffeoyl-CoA O-Methyltransferase","CCoAOMT","Caffeoyl-CoA O-Methyltransferase","2.1.1.104","184",233,552,718,NA,NA,NA,"Heterologous expression and mutant characterization",NA,"Role shown in coumarin synthesis",NA,"Kai et al 2008;http://www.ncbi.nlm.nih.gov/pubmed/18547395?dopt=Abstract",NA
"AT4G34250",759.56111881265,-0.52271522813234,0.23703204870741,0.0196671530396462,0.043064138085183,"KCS16","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,553,282,1.40666478,2.92772381,"targetP, RC2",NA,NA,NA,NA,NA,NA
"AT4G37050",6.5534509689107,1.63872384647276,1.47880422633444,0.0195093743209508,0.0427833951954836,"PLP4","TAG Degradation",NA,NA,"Patatin-like Acyl-Hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
