"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT1G01090",9277.93225164815,-0.931417978363547,0.105978801912486,0.000000000000000000490242970897165,0.0000000000000000279523568113492,"PDH (E1alpha)","Plastidial Fatty Acid Synthesis","Pyruvate Dehydrogenase &alpha; subunit, E1a component of Pyruvate Dehydrogenase Complex","&alpha;-PDH","Pyruvate Dehydrogenase &alpha; subunit, E1a component of Pyruvate Dehydrogenase Complex","nd,1.2.4.1","12 (overall),11",17,1,586,14.468552,14.7716974,"targetP, RC1","Sequence similarity to H. sapiens pyruvate dehydrogenase E1 alpha 1 precursor",NA,NA,"De Meirleir et al 1992;http://www.ncbi.nlm.nih.gov/pubmed/1551669","Johnston et al 1997;http://www.ncbi.nlm.nih.gov/pubmed/9393637?dopt=Abstract",NA
"AT1G01120",2204.6803001616,0.470825157804807,0.205612904969769,0.014901726299886,0.0433767304310635,"KCS1","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,2,500,5.32523094,3.32695888,"targetP, RC2","Mutant characterization - wax components affected to varying degrees; heterologous expression in yeast and in vitro assays; upregulated by overexpression of WIN1/SHN1","kcs1-1",NA,"Todd et al 2002;http://www3.interscience.wiley.com/cgi-bin/fulltext/119095657/HTMLSTART","Blacklock et al 2006;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6WBK-4K4269V-7&_user=4799849&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000051236&_version=1&_urlVersion=0&_userid=4799849&md5=3aabc79b6efdcc4458fa2ff4c14bd12f","Trenkamp et al 2004;http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=511072&tool=pmcentrez"
"AT1G01120",2204.6803001616,0.470825157804807,0.205612904969769,0.014901726299886,0.0433767304310635,"KCS1","Aliphatic Suberin Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.120","147",177,2,499,5.32523094,3.32695888,"targetP, RC2","Heterologous expression and mutant characterization (*)","kcs1-1","Chainlength specific reduction in waxes; increase in esterified diacids in roots; recombinant protein can act in elongation complexes producing C18-C22 fatty acids","Todd et al 1999;http://www.ncbi.nlm.nih.gov/pubmed/10074711?ordinalpos=4&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Trenkamp et al 2004;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=15277688","Blacklock et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16765910?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVBrief"
"AT1G01600",168.003929643687,1.2698122108636,0.379454729856274,0.000137931504795518,0.00073854748493587,"CYP86A4","Cutin Synthesis","Fatty Acyl omega-Hydroxylase","FAH","Fatty Acyl omega-Hydroxylase (CYP86A)","1.14.13.*","199",279,4,363,2.31094928,0.53231342,"targetP, RC4","Heterologous protein expression and mutant characterization",NA,NA,NA,"Rupasinghe et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17427946?ordinalpos=4&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA
"AT1G02390",76.7929026627517,1.04008083765023,0.431549853998946,0.00344311518039494,0.0124968630926099,"AtGPAT2","Cutin Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (mitochondrial?)","2.3.1.15","20",26,9,234,1.10523661,0.26615671,"targetP, RC2","Sequence similarity",NA,NA,"Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259","Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259",NA
"AT1G02660",2429.18627671092,-2.03683679393893,0.237381147067807,0.000000000000000000914483726405147,0.0000000000000000512520357112138,NA,"TAG Degradation",NA,NA,"Lipid Acylhydrolase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G04220",180.048019599759,2.58899343305188,0.366858740680633,0.000000000000121487377407705,0.00000000000352072294946143,"KCS2 (DAISY)","Aliphatic Suberin Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.120","147",177,13,323,1.90904506,0.79847013,"targetP, RC2","Mutant phenotype, and heterologous expression","daisy","Protein family of 21 members-Root but not seed suberin phenotype. Other family members may have redundant functions.","Franke et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/18786002?ordinalpos=6&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Trenkamp et al 2004;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=15277688",NA
"AT1G04220",180.048019599759,2.58899343305188,0.366858740680633,0.000000000000121487377407705,0.00000000000352072294946143,"KCS2","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,13,324,1.90904506,0.79847013,"targetP, RC2","Mutant characterization; heterologous expression in yeast; complementation of yeast elo2 elo3 mutant","daisy","Double mutant of kcs2 kcs20 results in 15-20% reduction in cuticular wax. Protein family of 21 members-Root but not seed suberin phenotype. Other family members may have redundant functions.","Franke et al 2008;http://www3.interscience.wiley.com/journal/121404212/abstract","Lee et al 2009;http://www3.interscience.wiley.com/journal/122504706/abstract","Blacklock et al 2006;http://www.jbc.org/cgi/content/full/281/14/9018?view=long&pmid=16449229"
"AT1G04710",784.444794494523,0.686931107592556,0.12819356598041,0.0000000405671695679175,0.000000462405920248358,"KAT1","b-Oxidation","Ketoacyl-CoA Thiolase","KAT","Ketoacyl-CoA Thiolase","2.3.1.16","89",116,15,268,1.40666478,0.93154849,"targetP, RC5","Sequence Similarity",NA,"Encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation",NA,NA,NA
"AT1G06080",254.479554209782,-3.02646083140896,0.775837305610823,0.00000474204373504249,0.0000354809620198098,"ADS1","Plastidial Fatty Acid Synthesis",NA,NA,"Acyl-CoA Desaturase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G06090",32.4235613586248,2.59508269158518,0.771357434750482,0.0000489909596175004,0.000294741902848706,NA,"Plastidial Fatty Acid Synthesis",NA,NA,"Acyl-CoA Desaturase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G06100",15.2997929248707,5.88161037717534,2.50729831122064,0.0000577182755730092,0.000340850342268377,NA,"Plastidial Fatty Acid Synthesis",NA,NA,"Acyl-CoA Desaturase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G06120",6.17262946312077,4.42055678988835,1.52708705665306,0.000192808822859303,0.000993137352313694,NA,"Plastidial Fatty Acid Synthesis",NA,NA,"Acyl-CoA Desaturase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G07720",1607.2952578481,0.520620689847017,0.183063109270216,0.00287844158674399,0.0107060757191971,"KCS3","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,30,493,5.12427883,1.46386191,"targetP, RC3","Upregulated in epidermis of stems",NA,NA,"Suh et al 2005;http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1310549&tool=pmcentrez",NA,NA
"AT1G09420",163.142759501696,-1.27900205888874,0.249614264984262,0.0000000556046607238668,0.000000619308689460525,NA,"OPPP","glucose-6-phosphate 1-dehydrogenase","G6PD4",NA,"1.1.1.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G09420",26.2764586893114,-0.836875651735074,0.4404359975487,0.0168247442926329,0.0480641673439686,NA,"OPPP","glucose-6-phosphate 1-dehydrogenase","G6PD4",NA,"1.1.1.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G09430",8322.23628365276,-1.06829405750503,0.13384379591838,0.00000000000000056283020597279,0.0000000000000224491532078828,"ACLA-3","Cuticular Wax Synthesis","ATP Citrate Lyase A subunit","ATP-CL-&alpha;","ATP Citrate Lyase A subunit","4.1.3.8","164",202,34,524,7.03332389,3.72619395,"targetP, RC4","Biochemical assay, Sequence similarity to Hs ACL",NA,NA,"Fatland et al 2002;http://www.plantphysiol.org/cgi/content/full/130/2/740",NA,NA
