"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT2G30660",93.6203944885074,2.65290060826604,0.587790938878681,0.000000370665194401167,0.0000315766661462887,NA,"b-Oxidation","Hydroxyisobutyryl-CoA Hydrolase","HIBCH","Hydroxyisobutyryl-CoA Hydrolase","3.1.2.4","93",122,244,88,0.10047606,0,"targetP, RC5","Sequence Similarity",NA,NA,NA,NA,NA
"AT2G31390",3698.9900086984,0.987986206639862,0.170011718882137,0.00000000038778510831545,0.000000092934045017579,NA,"Glycolysis","fructokinase","Probable FK-1",NA,"2.7.1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G34590",6515.16935841419,-0.351318581614279,0.139690045745948,0.00212678248319659,0.0301928269828584,"PDH (E1beta)","Plastidial Fatty Acid Synthesis","Pyruvate Dehydrogenase &beta; subunit, E1b component of Pyruvate Dehydrogenase Complex","&beta;-PDH","Pyruvate Dehydrogenase &beta; subunit, E1b component of Pyruvate Dehydrogenase Complex","nd,1.2.4.1","12,11",18,253,559,9.24379711,4.65774243,"targetP, RC1","Sequence similarity to H. sapiens pyruvate dehydrogenase E1 beta subunit",NA,NA,"Brown et al 2004;http://www.ncbi.nlm.nih.gov/pubmed/15138885","Johnston et al 1997;http://www.ncbi.nlm.nih.gov/pubmed/9393637?dopt=Abstract",NA
"AT2G34770",2677.24558207628,-0.47398095214034,0.236682400109076,0.00379410625476528,0.0463819908568655,"AtFAH1","Sphingolipid Synthesis","Fatty Acid 2-hydroxylase","FA2H","Fatty Acid 2-hydroxylase",NA,"57",68,255,450,3.71761406,5.45621256,"targetP, RC4","Heterologous expression",NA,NA,"Mitchell et al 1997;http://www.jbc.org/cgi/content/full/272/45/28281",NA,NA
"AT2G38540",18072.850607999,0.441774464181267,0.129848829405217,0.000097655961918521,0.00298832181825259,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 1",NA,"162",193,265,611,55.4627827,64.2768456,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT2G39220",489.279732393309,0.772359030066339,0.189767874126451,0.00000310242296586332,0.000179981206511286,"PLP6","TAG Degradation",NA,NA,"Patatin-like Acyl-Hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G39410",29.1366718979055,2.74282295431436,0.547413315028422,0.0000000388390811173844,0.00000476290670127139,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,272,142,0.40190422,0,"targetP, RC2","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT2G45290",1476.33281796741,0.511059056920257,0.173808302746262,0.000327576329560779,0.00765346047974774,NA,"OPPP","transketolase","transketolase",NA,"2.2.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G46720",396.920482052551,-0.507273949490761,0.228760258808186,0.0022893659136965,0.0319573828956307,"KCS13;HIC","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,295,174,0.60285633,0.79847013,"targetP, RC2","Mutant characterization","hic","Involved in control of stomate numbers at high CO2 concentrations; no evidence of role in cuticular wax biosynthesis","Gray et al 2000;http://www.nature.com/nature/journal/v408/n6813/full/408713a0.html",NA,NA
"AT2G47240",17.9066023151393,-1.35669182717137,0.684213605539206,0.00147322582931766,0.0234601521043645,"LACS1","Cuticular Wax Synthesis","Long-Chain Acyl-CoA Synthetase","LACS","Long-Chain Acyl-CoA Synthetase","6.2.1.3","95",124,296,545,8.1385605,3.99235066,"targetP, RC2","Mutant characterization; heterologous expression in E. coli and yeast; in vitro assays","cer8/lacs1","protein family of 9 members",NA,"Shockey et al 2002;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12177484",NA
