"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT1G02660",2714.35656801124,-0.856044785697747,0.230838899524441,0.0000122594776716735,0.000438835609502825,NA,"TAG Degradation",NA,NA,"Lipid Acylhydrolase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G09420",178.660756526678,-0.479829249591601,0.23979550855863,0.00398782767369379,0.0388176000631091,NA,"OPPP","glucose-6-phosphate 1-dehydrogenase","G6PD4",NA,"1.1.1.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G09430",9222.62671487484,-0.267955628149084,0.106889811428882,0.00301673418887005,0.0318931146772005,"ACLA-3","Cuticular Wax Synthesis","ATP Citrate Lyase A subunit","ATP-CL-&alpha;","ATP Citrate Lyase A subunit","4.1.3.8","164",202,34,524,7.03332389,3.72619395,"targetP, RC4","Biochemical assay, Sequence similarity to Hs ACL",NA,NA,"Fatland et al 2002;http://www.plantphysiol.org/cgi/content/full/130/2/740",NA,NA
"AT1G09780",5415.84727063107,0.404088948714901,0.142208354529995,0.000706935591211667,0.0106934365802036,NA,"Glycolysis","Phosphoglycerate mutase","i-PGM",NA,"5.4.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andriotis et al 2009;http://www3.interscience.wiley.com/journal/123209178/abstract",NA,NA
"AT1G12240",6664.78092801115,-0.666359197569894,0.19248830361291,0.0000401770956617055,0.00115086727292642,NA,"Sucrose Degradation","vacuolar invertase","BFRUCT4",NA,"3.2.1.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sergeeva et al 2006;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1413815/?tool=pubmed",NA,NA
"AT1G13440",9425.6217272377,0.289987705553853,0.09866166502546,0.000969933500922084,0.0136908811320763,NA,"Glycolysis","NAD-Dependent Glyceraldehyde-3-Phosphate Dehydrogenase","GapC2",NA,"1.2.1.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rius et al 2009;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2577239/?tool=pubmed",NA,NA
"AT1G18360",508.790929553026,0.386895477508777,0.113947939051452,0.000117230982465348,0.00267395692097705,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,58,154,0.50238028,0.26615671,"targetP, RC4","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT1G20950",1573.86099627684,0.55130270158863,0.120217507531946,0.000000473562423015664,0.0000296975718985782,NA,"Glycolysis","PPi-dependent phosphofructokinase","PFP",NA,"2.7.1.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2015;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c81",NA,NA
"AT1G22710",6847.1240744291,0.837975912891693,0.119412258842654,0.000000000000170632617268028,0.0000000000871648286544176,NA,"Transporters","sucrose transporter","SUC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Srivastava et al 2008;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2528097/?tool=pubmed",NA,NA
"AT1G23190",4144.92430993272,0.483104696749719,0.089896654961467,0.0000000106017270949153,0.00000117626401976164,NA,"Glycolysis","phosphoglucomutase","PGM",NA,"5.4.2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fettke et al 2008;http://www.plantphysiol.org/cgi/content/full/148/3/1614",NA,NA
"AT1G24360",4378.88518207281,-0.235338753246618,0.069395986263577,0.000283447871336427,0.00522174440658842,NA,"Plastidial Fatty Acid Synthesis","Ketoacyl-ACP Reductase","KAR","Ketoacyl-ACP Reductase","1.1.1.100","4",10,69,566,10.2485577,5.32313421,"targetP, RC4","Sequence similarity to B. napus ketoacyl-ACP reductase",NA,NA,"Fisher et al 2000;http://www.ncbi.nlm.nih.gov/sites/entrez?db=pubmed&cmd=search&term=10666637","Fisher et al 2000;http://www.ncbi.nlm.nih.gov/sites/entrez?db=pubmed&cmd=search&term=10801480",NA
"AT1G31480",1080.4333387561,-0.248422595734262,0.0981177474772033,0.00407922370366096,0.0395033827858479,"SGR2","Lipases",NA,NA,"Phospholipase A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G31770",561.837909407109,0.641394173312559,0.19819248819406,0.0000912280572618294,0.00216545204652474,"AtWBC14;AtABCG14","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,80,629,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT1G36180",760.09014390573,0.387258243832487,0.160345067640464,0.00236673518318636,0.0264263873823905,"ACC2","Plastidial Fatty Acid Synthesis","Acetyl-CoA Carboxylase (Homomeric)","HmACC","Acetyl-CoA Carboxylase (Plastidial, Homomeric)","6.4.1.2 ,nd,6.3.4.14","1,207,192",1,93,480,4.62189856,0.26615671,"targetP, RC2","Sequence similarity to H. sapiens Acetyl-CoA Carboxylase",NA,NA,"Moreau et al 2002;http://www.ncbi.nlm.nih.gov/sites/entrez?db=pubmed&cmd=search&term=16326698",NA,NA
"AT1G42970",35917.1732746156,0.348873152239259,0.112317521072224,0.000395212800886341,0.00679566471089277,NA,"Glycolysis","NADP-Dependent Glyceraldehyde-3-Phosphate Dehydrogenase","GapB",NA,"1.2.1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muñoz-Bertomeu  et al 2011;http://www.plantphysiol.org/cgi/content/full/151/2/543",NA,NA
"AT1G45201",459.390864427904,1.25821691256882,0.177333139417016,0.000000000000071329747104503,0.0000000000423864106003639,NA,"TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,95,631,NA,NA,NA,"Sequence homology ONLY (to castor bean acid lipase BLAST score>100)",NA,NA,NA,NA,NA
"AT1G48030",699.269192629453,0.423953395292782,0.146778826996093,0.000543913291172627,0.00864899734082543,"mtLPD1","Mitochondrial Fatty Acid & Lipoic Acid Synthesis",NA,NA,"Mitochondrial Dihydrolipoamide Dehydrogenase, branched chain alpha-ketoacid dehydrogenase complex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G48300",14775.9533667565,0.454279942813594,0.0919405375103092,0.000000110458192259749,0.00000865314656296822,"AtDGAT2","TAG Synthesis","Acyl-CoA : Diacylglycerol Acyltransferase","DAGAT","Acyl-CoA : Diacylglycerol Acyltransferase","2.3.1.20","78",105,98,634,NA,NA,NA,"Sequence similarity to peanut AhDGAT",NA,NA,"Saha et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16798944",NA,NA
"AT1G48600",162.123866138212,0.885813039358411,0.213079476806742,0.00000208092426277591,0.0000998517865425935,"CPUORF31","Eukaryotic Phospholipid Synthesis","Phosphoethanolamine N-Methyltransferase","PEAMT","Phosphoethanolamine N-Methyltransferase","2.1.1.103","60",72,99,440,3.41618589,12.2432087,"targetP, RC2","homologus to At3g18000",NA,"highest expression in leaves","Cruz-Ramírez et al 2004;http://www.ncbi.nlm.nih.gov/pubmed/15295103?dopt=Abstract",NA,NA
"AT1G51500",5194.7281024303,0.310471184731124,0.133289124879136,0.0046207364913843,0.0430888119364277,"AtWBC12;ABCG12;CER5","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter","3.A.1.204.4","?",230,108,636,NA,NA,NA,"Mutant analysis","cer5",NA,"Bird et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17727615?ordinalpos=6&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
"AT1G53240",6147.14324228351,0.445593480661385,0.0888293518660508,0.0000000844500881623843,0.00000693807771776749,NA,"Glycolysis","NAD-dependent malate dehydrogenase","MDH",NA,"1.1.1.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G55260",262.179622658002,0.810297059869897,0.188703983243692,0.00000114772400651142,0.0000621145153737437,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,124,589,15.5737886,6.12160434,"targetP, RC3","Sequence similarity",NA,NA,NA,NA,NA
"AT1G61800",311.894709136979,-3.45850281795552,0.588697723298639,0.000000000184252606493785,0.0000000403381599216751,NA,"Plastid Transporters","Glc 6-P, TP transporter","GPT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G64400",981.355528308089,0.605445215088113,0.22269394287227,0.000508880770856955,0.00823985472661102,"LACS3","Cutin Synthesis","Long-Chain Acyl-CoA Synthetase","LACS","Long-Chain Acyl-CoA Synthetase","6.2.1.3","95",124,143,270,1.40666478,3.72619395,"targetP, RC2","Heterologous protein expression and sequence similarity",NA,NA,"Shockey et al 2002;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12177484",NA,NA
"AT1G64400",981.355528308089,0.605445215088113,0.22269394287227,0.000508880770856955,0.00823985472661102,"LACS3","Cuticular Wax Synthesis","Long-Chain Acyl-CoA Synthetase","LACS","Long-Chain Acyl-CoA Synthetase","6.2.1.3","95",124,143,272,1.40666478,3.72619395,"targetP, RC2","Sequence similarity and heterologous protein expression",NA,NA,"Shockey et al 2002;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12177484",NA,NA
"AT1G64400",981.355528308089,0.605445215088113,0.22269394287227,0.000508880770856955,0.00823985472661102,"LACS3","Aliphatic Suberin Synthesis","Long-Chain Acyl-CoA Synthetase","LACS","Long-Chain Acyl-CoA Synthetase","6.2.1.3","95",124,143,271,1.40666478,3.72619395,"targetP, RC2","Sequence similarity and heterologous protein expression",NA,"mutant characterization","Shockey et al 2002;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12177484","Lü et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/19392700",NA
"AT1G66430",2036.57305783398,0.307317899320438,0.130342410809047,0.0042550693463615,0.0406761404962121,NA,"Glycolysis","fructokinase","pfkB-type",NA,"2.7.1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G67090",184686.192209632,0.35605348762696,0.115434025889328,0.000409027578014514,0.00697451753332121,NA,"Rubisco","ribulose bisphosphate carboxylase small chain 1BA","RBCS-1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G70730",227.706167935543,0.401853396471735,0.175283833354395,0.00301926368563858,0.0318967451839113,NA,"Glycolysis","phosphoglucomutase","PGM",NA,"5.4.2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fettke et al 2008;http://www.plantphysiol.org/cgi/content/full/148/3/1614",NA,NA
"AT1G70820",3291.66406712628,0.44126046524594,0.226516473910993,0.00531029568873439,0.0476954030358122,NA,"Glycolysis","phosphoglucomutase","PGM2",NA,"5.4.2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lohmeier-Vogel et al 2008;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2653042/?tool=pubmed",NA,NA
"AT1G73480",2030.30997044,1.29904806690132,0.149772324420698,0.000000000000000000297451283676658,0.000000000000000911688184468956,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,175,457,3.91856617,0.13307836,"targetP, RC3","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT1G74030",696.475922141695,0.760377771701368,0.152680743272179,0.0000000476653253238048,0.00000417412063192748,NA,"Glycolysis","enolase","ENO",NA,"4.2.1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prabhakar et al 2009;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4VM9K9G-3&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=50e448c24c46d54aecd62e4385e22d85",NA,NA
"AT2G15050",69.3462353492498,1.10921350719846,0.334201596845971,0.0000469902861171717,0.00129898739074752,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 1",NA,"162",193,208,188,0.80380844,10.7793468,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT2G15050",260.651025923903,0.467604468375372,0.18178676820603,0.00112601119707086,0.0152381799947154,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 1",NA,"162",193,208,188,0.80380844,10.7793468,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT2G18370",152.3813984799,0.855342321796923,0.524018578034349,0.00342725977311859,0.0349569091667503,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 1",NA,"162",193,213,172,0.60285633,0,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT2G21170",3701.13783315605,0.372033087540129,0.109003247087277,0.00012162848749839,0.00275886263964895,NA,"Glycolysis","triose-phosphate isomerase","TPI",NA,"5.3.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G26560",4477.42656232498,-0.849511787127818,0.198557659150787,0.00000118907571547555,0.0000635694781021173,"PLA2A","TAG Degradation",NA,NA,"Patatin-like Acyl-Hydrolase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT2G26870",428.042911327796,0.850467545162284,0.181910359586506,0.000000198870153125849,0.0000142581758907772,"NPC2","Plastidial Glycerolipid, Galactolipid & Sulfolipid Synthesis","Phospholipase C (Non specific)","nsPLC","Phospholipase C (Non specific)","3.1.4.3","106",136,232,110,0.20095211,0.26615671,"targetP, RC1","sequence similarity to bacterial PC-PLC",NA,NA,"Nakamura et al 2005;http://www.ncbi.nlm.nih.gov/pubmed/15618226?log$=activity",NA,NA
"AT2G31390",2829.3790447262,0.511487833642847,0.150232799253628,0.0000714539194980083,0.00181559596486131,NA,"Glycolysis","fructokinase","Probable FK-1",NA,"2.7.1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
